,superficie_sembrada_ha_centeno_indefinido_Catamarca,superficie_sembrada_ha_centeno_Ambato_Catamarca,superficie_sembrada_ha_centeno_Andalgalá_Catamarca,superficie_sembrada_ha_centeno_Belén_Catamarca,superficie_sembrada_ha_centeno_Capayán_Catamarca,superficie_sembrada_ha_centeno_Fray Mamerto Esquiú_Catamarca,superficie_sembrada_ha_centeno_Pomán_Catamarca,superficie_sembrada_ha_centeno_Santa María_Catamarca,superficie_sembrada_ha_centeno_Tinogasta_Catamarca,superficie_sembrada_ha_centeno_Valle Viejo_Catamarca,superficie_sembrada_ha_centeno_El Alto_Catamarca,superficie_sembrada_ha_centeno_La Paz_Catamarca,superficie_sembrada_ha_centeno_Capital_Catamarca,superficie_sembrada_ha_centeno_Paclín_Catamarca,superficie_sembrada_ha_centeno_Santa Rosa_Catamarca,superficie_cosechada_ha_centeno_indefinido_Catamarca,superficie_cosechada_ha_centeno_Ambato_Catamarca,superficie_cosechada_ha_centeno_Andalgalá_Catamarca,superficie_cosechada_ha_centeno_Belén_Catamarca,superficie_cosechada_ha_centeno_Capayán_Catamarca,superficie_cosechada_ha_centeno_Fray Mamerto Esquiú_Catamarca,superficie_cosechada_ha_centeno_Pomán_Catamarca,superficie_cosechada_ha_centeno_Santa María_Catamarca,superficie_cosechada_ha_centeno_Tinogasta_Catamarca,superficie_cosechada_ha_centeno_Valle Viejo_Catamarca,superficie_cosechada_ha_centeno_El Alto_Catamarca,superficie_cosechada_ha_centeno_La Paz_Catamarca,superficie_cosechada_ha_centeno_Capital_Catamarca,superficie_cosechada_ha_centeno_Paclín_Catamarca,superficie_cosechada_ha_centeno_Santa Rosa_Catamarca,produccion_tm_centeno_indefinido_Catamarca,produccion_tm_centeno_Ambato_Catamarca,produccion_tm_centeno_Andalgalá_Catamarca,produccion_tm_centeno_Belén_Catamarca,produccion_tm_centeno_Capayán_Catamarca,produccion_tm_centeno_Fray Mamerto Esquiú_Catamarca,produccion_tm_centeno_Pomán_Catamarca,produccion_tm_centeno_Santa María_Catamarca,produccion_tm_centeno_Tinogasta_Catamarca,produccion_tm_centeno_Valle Viejo_Catamarca,produccion_tm_centeno_El Alto_Catamarca,produccion_tm_centeno_La Paz_Catamarca,produccion_tm_centeno_Capital_Catamarca,produccion_tm_centeno_Paclín_Catamarca,produccion_tm_centeno_Santa Rosa_Catamarca,rendimiento_kgxha_centeno_indefinido_Catamarca,rendimiento_kgxha_centeno_Ambato_Catamarca,rendimiento_kgxha_centeno_Andalgalá_Catamarca,rendimiento_kgxha_centeno_Belén_Catamarca,rendimiento_kgxha_centeno_Capayán_Catamarca,rendimiento_kgxha_centeno_Fray Mamerto Esquiú_Catamarca,rendimiento_kgxha_centeno_Pomán_Catamarca,rendimiento_kgxha_centeno_Santa María_Catamarca,rendimiento_kgxha_centeno_Tinogasta_Catamarca,rendimiento_kgxha_centeno_Valle Viejo_Catamarca,rendimiento_kgxha_centeno_El Alto_Catamarca,rendimiento_kgxha_centeno_La Paz_Catamarca,rendimiento_kgxha_centeno_Capital_Catamarca,rendimiento_kgxha_centeno_Paclín_Catamarca,rendimiento_kgxha_centeno_Santa Rosa_Catamarca
1923-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-01-01,500.0,,,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,106.0,,,,,,,,,,,,,,,660.0,,,,,,,,,,,,,,
1926-01-01,820.0,,,,,,,,,,,,,,,370.0,,,,,,,,,,,,,,,202.0,,,,,,,,,,,,,,,546.0,,,,,,,,,,,,,,
1927-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-01,1050.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
1929-01-01,1050.0,,,,,,,,,,,,,,,700.0,,,,,,,,,,,,,,,630.0,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,
1930-01-01,1000.0,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,156.0,,,,,,,,,,,,,,,780.0,,,,,,,,,,,,,,
1931-01-01,800.0,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,550.0,,,,,,,,,,,,,,
1932-01-01,800.0,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,
1933-01-01,800.0,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,
1934-01-01,900.0,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,380.0,,,,,,,,,,,,,,,950.0,,,,,,,,,,,,,,
1935-01-01,,100.0,60.0,150.0,90.0,120.0,80.0,90.0,50.0,60.0,,,,,,,40.0,10.0,30.0,20.0,20.0,20.0,30.0,15.0,15.0,,,,,,,26.0,6.0,19.0,13.0,13.0,14.0,20.0,9.0,10.0,,,,,,,650.0,600.0,633.0,650.0,650.0,700.0,667.0,600.0,667.0,,,,,
1936-01-01,,1.0,,,,,1.0,,,,9.0,4.0,,,,,0.0,,,,,0.0,,,,3.0,2.0,,,,,0.0,,,,,0.0,,,,1.0,1.0,,,,,0.0,,,,,0.0,,,,333.0,500.0,,,
1937-01-01,,20.0,10.0,20.0,15.0,20.0,15.0,10.0,30.0,10.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,0.0,,,,,
1938-01-01,,,20.0,30.0,10.0,40.0,15.0,30.0,30.0,10.0,10.0,5.0,30.0,10.0,10.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1939-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-01-01,,,,,,,,20.0,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,765.0,,,,,,,
1946-01-01,,,,,,,,10.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,
1947-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,225.0,,,,,,,,,,,,,,,158.0,,,,,,,,,,,,,,,700.0
2021-01-01,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,188.0,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,798.0
2022-01-01,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,275.0,,,,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,800.0
2023-01-01,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,360.0,,,,,,,,,,,,,,,1200.0
2024-01-01,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,280.0,,,,,,,,,,,,,,,336.0,,,,,,,,,,,,,,,1200.0
