,superficie_sembrada_ha_centeno_Languiñeo_Chubut,superficie_sembrada_ha_centeno_Biedma_Chubut,superficie_sembrada_ha_centeno_Cushamen_Chubut,superficie_sembrada_ha_centeno_Florentino Ameghino_Chubut,superficie_sembrada_ha_centeno_Futaleufú_Chubut,superficie_sembrada_ha_centeno_Gaiman_Chubut,superficie_sembrada_ha_centeno_Sarmiento_Chubut,superficie_sembrada_ha_centeno_Rawson_Chubut,superficie_sembrada_ha_centeno_Escalante_Chubut,superficie_sembrada_ha_centeno_Río Senguer_Chubut,superficie_sembrada_ha_centeno_Tehuelches_Chubut,superficie_sembrada_ha_centeno_otros departamentos_Chubut,superficie_cosechada_ha_centeno_Languiñeo_Chubut,superficie_cosechada_ha_centeno_Biedma_Chubut,superficie_cosechada_ha_centeno_Cushamen_Chubut,superficie_cosechada_ha_centeno_Florentino Ameghino_Chubut,superficie_cosechada_ha_centeno_Futaleufú_Chubut,superficie_cosechada_ha_centeno_Gaiman_Chubut,superficie_cosechada_ha_centeno_Sarmiento_Chubut,superficie_cosechada_ha_centeno_Rawson_Chubut,superficie_cosechada_ha_centeno_Escalante_Chubut,superficie_cosechada_ha_centeno_Río Senguer_Chubut,superficie_cosechada_ha_centeno_Tehuelches_Chubut,superficie_cosechada_ha_centeno_otros departamentos_Chubut,produccion_tm_centeno_Languiñeo_Chubut,produccion_tm_centeno_Biedma_Chubut,produccion_tm_centeno_Cushamen_Chubut,produccion_tm_centeno_Florentino Ameghino_Chubut,produccion_tm_centeno_Futaleufú_Chubut,produccion_tm_centeno_Gaiman_Chubut,produccion_tm_centeno_Sarmiento_Chubut,produccion_tm_centeno_Rawson_Chubut,produccion_tm_centeno_Escalante_Chubut,produccion_tm_centeno_Río Senguer_Chubut,produccion_tm_centeno_Tehuelches_Chubut,produccion_tm_centeno_otros departamentos_Chubut,rendimiento_kgxha_centeno_Languiñeo_Chubut,rendimiento_kgxha_centeno_Biedma_Chubut,rendimiento_kgxha_centeno_Cushamen_Chubut,rendimiento_kgxha_centeno_Florentino Ameghino_Chubut,rendimiento_kgxha_centeno_Futaleufú_Chubut,rendimiento_kgxha_centeno_Gaiman_Chubut,rendimiento_kgxha_centeno_Sarmiento_Chubut,rendimiento_kgxha_centeno_Rawson_Chubut,rendimiento_kgxha_centeno_Escalante_Chubut,rendimiento_kgxha_centeno_Río Senguer_Chubut,rendimiento_kgxha_centeno_Tehuelches_Chubut,rendimiento_kgxha_centeno_otros departamentos_Chubut
1923-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-01-01,3000.0,,,,,,,,,,,,960.0,,,,,,,,,,,,576.0,,,,,,,,,,,,600.0,,,,,,,,,,,
1926-01-01,250.0,,,,,,,,,,,,112.0,,,,,,,,,,,,61.0,,,,,,,,,,,,545.0,,,,,,,,,,,
1927-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-01,400.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,
1929-01-01,400.0,,,,,,,,,,,,150.0,,,,,,,,,,,,144.0,,,,,,,,,,,,960.0,,,,,,,,,,,
1930-01-01,700.0,,,,,,,,,,,,200.0,,,,,,,,,,,,146.0,,,,,,,,,,,,730.0,,,,,,,,,,,
1931-01-01,700.0,,,,,,,,,,,,400.0,,,,,,,,,,,,160.0,,,,,,,,,,,,400.0,,,,,,,,,,,
1932-01-01,700.0,,,,,,,,,,,,350.0,,,,,,,,,,,,210.0,,,,,,,,,,,,600.0,,,,,,,,,,,
1933-01-01,850.0,,,,,,,,,,,,300.0,,,,,,,,,,,,225.0,,,,,,,,,,,,750.0,,,,,,,,,,,
1934-01-01,750.0,,,,,,,,,,,,400.0,,,,,,,,,,,,440.0,,,,,,,,,,,,1100.0,,,,,,,,,,,
1935-01-01,20.0,15.0,90.0,20.0,80.0,50.0,25.0,,,,,,10.0,5.0,50.0,10.0,35.0,20.0,20.0,,,,,,10.0,6.0,48.0,10.0,33.0,21.0,22.0,,,,,,1000.0,1200.0,960.0,1000.0,943.0,1050.0,1100.0,,,,,
1936-01-01,4.0,,50.0,,11.0,,,,,,,,0.0,,50.0,,10.0,,,,,,,,0.0,,29.0,,10.0,,,,,,,,0.0,,580.0,,1000.0,,,,,,,
1937-01-01,,15.0,60.0,15.0,100.0,70.0,40.0,,,,,,,10.0,45.0,10.0,70.0,50.0,25.0,,,,,,,6.0,22.0,6.0,45.0,26.0,10.0,,,,,,,600.0,489.0,600.0,643.0,520.0,400.0,,,,,
1938-01-01,,15.0,45.0,15.0,45.0,60.0,20.0,,,,,,,5.0,25.0,10.0,20.0,30.0,10.0,,,,,,,3.0,16.0,8.0,15.0,20.0,8.0,,,,,,,600.0,640.0,800.0,750.0,667.0,800.0,,,,,
1939-01-01,,10.0,40.0,10.0,60.0,50.0,30.0,,,,,,,10.0,40.0,10.0,60.0,50.0,30.0,,,,,,,5.0,18.0,6.0,32.0,26.0,13.0,,,,,,,500.0,450.0,600.0,533.0,520.0,433.0,,,,,
1940-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-01-01,,5.0,35.0,10.0,54.0,30.0,20.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1943-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-01-01,,,70.0,,,,,,,,,,,,70.0,,,,,,,,,,,,70.0,,,,,,,,,,,,1000.0,,,,,,,,,
1945-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-01-01,,,70.0,,,,,,,,,,,,50.0,,,,,,,,,,,,50.0,,,,,,,,,,,,1000.0,,,,,,,,,
1947-01-01,,,50.0,,,,,,,,,,,,40.0,,,,,,,,,,,,36.0,,,,,,,,,,,,900.0,,,,,,,,,
1948-01-01,,,50.0,,,60.0,,30.0,,,,,,,40.0,,,40.0,,20.0,,,,,,,36.0,,,36.0,,18.0,,,,,,,900.0,,,900.0,,900.0,,,,
1949-01-01,,,50.0,,,50.0,,28.0,8.0,,,,,,48.0,,,45.0,,25.0,8.0,,,,,,48.0,,,45.0,,25.0,8.0,,,,,,1000.0,,,1000.0,,1000.0,1000.0,,,
1950-01-01,,,60.0,,,70.0,,40.0,36.0,,,,,,30.0,,,35.0,,20.0,31.0,,,,,,27.0,,,32.0,,18.0,31.0,,,,,,900.0,,,914.0,,900.0,1000.0,,,
1951-01-01,,,60.0,,,70.0,,40.0,,,,,,,40.0,,,40.0,,20.0,,,,,,,36.0,,,36.0,,18.0,,,,,,,900.0,,,900.0,,900.0,,,,
1952-01-01,,,60.0,,,70.0,,40.0,36.0,,,,,,12.0,,,7.0,,4.0,5.0,,,,,,48.0,,,63.0,,36.0,31.0,,,,,,1000.0,,,1000.0,,1000.0,1000.0,,,
1953-01-01,,,66.0,,,100.0,,44.0,49.0,,,,,,56.0,,,85.0,,37.0,37.0,,,,,,56.0,,,85.0,,37.0,37.0,,,,,,1000.0,,,1000.0,,1000.0,1000.0,,,
1954-01-01,,,60.0,,,80.0,,45.0,43.0,,,,,,45.0,,,60.0,,37.0,31.0,,,,,,45.0,,,60.0,,37.0,31.0,,,,,,1000.0,,,1000.0,,1000.0,1000.0,,,
1955-01-01,,,50.0,,,66.0,,30.0,45.0,,,,,,35.0,,,46.0,,20.0,29.0,,,,,,35.0,,,46.0,,20.0,29.0,,,,,,1000.0,,,1000.0,,1000.0,1000.0,,,
1956-01-01,,,45.0,,,60.0,,27.0,6.0,7.0,,,,,30.0,,,40.0,,17.0,3.0,3.0,,,,,30.0,,,40.0,,17.0,3.0,3.0,,,,,1000.0,,,1000.0,,1000.0,2000.0,1000.0,,
1957-01-01,,,50.0,,,65.0,36.0,30.0,4.0,5.0,,,,,35.0,,,46.0,24.0,20.0,2.0,3.0,,,,,35.0,,,46.0,24.0,20.0,2.0,3.0,,,,,1000.0,,,1000.0,1000.0,1000.0,1000.0,1000.0,,
1958-01-01,,,45.0,,,60.0,,27.0,3.0,5.0,,,,,30.0,,,40.0,,17.0,1.0,3.0,,,,,30.0,,,40.0,,17.0,1.0,3.0,,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,,
1959-01-01,,,60.0,,,66.0,,30.0,4.0,5.0,,,,,44.0,,,46.0,,20.0,2.0,3.0,,,,,44.0,,,46.0,,20.0,2.0,3.0,,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,,
1960-01-01,,,50.0,,,60.0,,30.0,4.0,6.0,,,,,34.0,,,40.0,,19.0,3.0,4.0,,,,,34.0,,,40.0,,19.0,3.0,4.0,,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,,
1961-01-01,,,50.0,,,66.0,,30.0,4.0,5.0,,,,,35.0,,,43.0,,18.0,2.0,2.0,,,,,35.0,,,43.0,,18.0,2.0,2.0,,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,,
1962-01-01,,,60.0,,,60.0,,27.0,6.0,5.0,,,,,45.0,,,34.0,,17.0,4.0,4.0,,,,,36.0,,,30.0,,10.0,3.0,4.0,,,,,800.0,,,882.0,,588.0,750.0,1000.0,,
1963-01-01,,,50.0,,,66.0,,30.0,4.0,6.0,,,,,34.0,,,42.0,,17.0,1.0,2.0,,,,,34.0,,,42.0,,17.0,1.0,2.0,,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,,
1964-01-01,,,45.0,,,60.0,,27.0,3.0,5.0,,,,,30.0,,,40.0,,15.0,1.0,4.0,,,,,27.0,,,33.0,,15.0,1.0,4.0,,,,,900.0,,,825.0,,1000.0,1000.0,1000.0,,
1965-01-01,,,50.0,,,66.0,4.0,30.0,,6.0,,,,,33.0,,,43.0,3.0,17.0,,4.0,,,,,33.0,,,43.0,3.0,17.0,,5.0,,,,,1000.0,,,1000.0,1000.0,1000.0,,1250.0,,
1966-01-01,,,70.0,,,88.0,,52.0,10.0,10.0,,,,,40.0,,,40.0,,14.0,2.0,4.0,,,,,40.0,,,40.0,,14.0,2.0,4.0,,,,,1000.0,,,1000.0,,1000.0,1000.0,1000.0,,
1967-01-01,,,73.0,,,88.0,,57.0,16.0,16.0,,,,,65.0,,,85.0,,50.0,15.0,15.0,,,,,57.0,,,74.0,,45.0,12.0,12.0,,,,,877.0,,,871.0,,900.0,800.0,800.0,,
1968-01-01,,,71.0,,,90.0,,57.0,16.0,16.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,
1969-01-01,,,75.0,,,94.0,,59.0,16.0,16.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,
1970-01-01,,,73.0,,,91.0,,56.0,15.0,15.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,
1971-01-01,,,71.0,,,93.0,,57.0,15.0,14.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,
1972-01-01,,,72.0,,,70.0,,43.0,17.0,15.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,
1973-01-01,,,76.0,,,73.0,,45.0,18.0,18.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,
1974-01-01,,,78.0,,,76.0,,48.0,18.0,20.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,
1975-01-01,,,80.0,,,80.0,,51.0,19.0,20.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,
1976-01-01,,,83.0,,,85.0,,54.0,18.0,20.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,
1977-01-01,,,88.0,,,87.0,,57.0,18.0,20.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,
1978-01-01,,,82.0,,,89.0,,59.0,18.0,22.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,
1979-01-01,,,90.0,,,100.0,,60.0,20.0,30.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,,
1980-01-01,50.0,100.0,200.0,50.0,50.0,150.0,50.0,100.0,50.0,100.0,70.0,,0.0,10.0,10.0,0.0,0.0,20.0,0.0,10.0,0.0,10.0,10.0,,0.0,6.0,6.0,0.0,0.0,10.0,0.0,6.0,0.0,6.0,6.0,,0.0,600.0,600.0,0.0,0.0,500.0,0.0,600.0,0.0,600.0,600.0,
1981-01-01,30.0,80.0,180.0,30.0,30.0,120.0,30.0,80.0,30.0,80.0,10.0,,0.0,10.0,30.0,0.0,0.0,30.0,10.0,10.0,0.0,10.0,0.0,,0.0,5.0,15.0,0.0,0.0,15.0,5.0,5.0,0.0,5.0,0.0,,0.0,500.0,500.0,0.0,0.0,500.0,500.0,500.0,0.0,500.0,0.0,
1982-01-01,30.0,75.0,170.0,30.0,30.0,115.0,30.0,75.0,30.0,80.0,10.0,,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,10.0,0.0,,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,,0.0,0.0,480.0,0.0,0.0,480.0,0.0,0.0,0.0,600.0,0.0,
1983-01-01,30.0,75.0,170.0,30.0,30.0,115.0,30.0,75.0,30.0,80.0,10.0,,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,10.0,0.0,,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,,0.0,0.0,480.0,0.0,0.0,480.0,0.0,0.0,0.0,600.0,0.0,
1984-01-01,25.0,50.0,160.0,20.0,22.0,110.0,25.0,60.0,24.0,74.0,5.0,,0.0,0.0,13.0,0.0,0.0,23.0,0.0,0.0,0.0,14.0,0.0,,0.0,0.0,8.0,0.0,0.0,14.0,0.0,0.0,0.0,8.0,0.0,,0.0,0.0,615.0,0.0,0.0,609.0,0.0,0.0,0.0,571.0,0.0,
1985-01-01,27.0,55.0,206.0,22.0,24.0,141.0,27.0,66.0,26.0,80.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1986-01-01,25.0,45.0,87.0,18.0,20.0,120.0,25.0,60.0,20.0,75.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1987-01-01,,,,,,,,,,,,380.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0
1988-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
