,superficie_sembrada_ha_centeno_indefinido_Corrientes,superficie_sembrada_ha_centeno_Esquina_Corrientes,superficie_sembrada_ha_centeno_Goya_Corrientes,superficie_sembrada_ha_centeno_Paso de los Libres_Corrientes,superficie_sembrada_ha_centeno_San Martín_Corrientes,superficie_sembrada_ha_centeno_Monte Caseros_Corrientes,superficie_sembrada_ha_centeno_Sauce_Corrientes,superficie_sembrada_ha_centeno_Empedrado_Corrientes,superficie_sembrada_ha_centeno_Bella Vista_Corrientes,superficie_sembrada_ha_centeno_General Paz_Corrientes,superficie_sembrada_ha_centeno_Capital_Corrientes,superficie_sembrada_ha_centeno_Curuzu Cuatia_Corrientes,superficie_cosechada_ha_centeno_indefinido_Corrientes,superficie_cosechada_ha_centeno_Esquina_Corrientes,superficie_cosechada_ha_centeno_Goya_Corrientes,superficie_cosechada_ha_centeno_Paso de los Libres_Corrientes,superficie_cosechada_ha_centeno_San Martín_Corrientes,superficie_cosechada_ha_centeno_Monte Caseros_Corrientes,superficie_cosechada_ha_centeno_Sauce_Corrientes,superficie_cosechada_ha_centeno_Empedrado_Corrientes,superficie_cosechada_ha_centeno_Bella Vista_Corrientes,superficie_cosechada_ha_centeno_General Paz_Corrientes,superficie_cosechada_ha_centeno_Capital_Corrientes,superficie_cosechada_ha_centeno_Curuzu Cuatia_Corrientes,produccion_tm_centeno_indefinido_Corrientes,produccion_tm_centeno_Esquina_Corrientes,produccion_tm_centeno_Goya_Corrientes,produccion_tm_centeno_Paso de los Libres_Corrientes,produccion_tm_centeno_San Martín_Corrientes,produccion_tm_centeno_Monte Caseros_Corrientes,produccion_tm_centeno_Sauce_Corrientes,produccion_tm_centeno_Empedrado_Corrientes,produccion_tm_centeno_Bella Vista_Corrientes,produccion_tm_centeno_General Paz_Corrientes,produccion_tm_centeno_Capital_Corrientes,produccion_tm_centeno_Curuzu Cuatia_Corrientes,rendimiento_kgxha_centeno_indefinido_Corrientes,rendimiento_kgxha_centeno_Esquina_Corrientes,rendimiento_kgxha_centeno_Goya_Corrientes,rendimiento_kgxha_centeno_Paso de los Libres_Corrientes,rendimiento_kgxha_centeno_San Martín_Corrientes,rendimiento_kgxha_centeno_Monte Caseros_Corrientes,rendimiento_kgxha_centeno_Sauce_Corrientes,rendimiento_kgxha_centeno_Empedrado_Corrientes,rendimiento_kgxha_centeno_Bella Vista_Corrientes,rendimiento_kgxha_centeno_General Paz_Corrientes,rendimiento_kgxha_centeno_Capital_Corrientes,rendimiento_kgxha_centeno_Curuzu Cuatia_Corrientes
1923-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-01-01,1500.0,,,,,,,,,,,,480.0,,,,,,,,,,,,327.0,,,,,,,,,,,,680.0,,,,,,,,,,,
1926-01-01,1500.0,,,,,,,,,,,,672.0,,,,,,,,,,,,367.0,,,,,,,,,,,,546.0,,,,,,,,,,,
1927-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-01,1300.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,
1929-01-01,1300.0,,,,,,,,,,,,900.0,,,,,,,,,,,,540.0,,,,,,,,,,,,600.0,,,,,,,,,,,
1930-01-01,1000.0,,,,,,,,,,,,700.0,,,,,,,,,,,,420.0,,,,,,,,,,,,600.0,,,,,,,,,,,
1931-01-01,200.0,,,,,,,,,,,,50.0,,,,,,,,,,,,28.0,,,,,,,,,,,,560.0,,,,,,,,,,,
1932-01-01,200.0,,,,,,,,,,,,100.0,,,,,,,,,,,,50.0,,,,,,,,,,,,500.0,,,,,,,,,,,
1933-01-01,250.0,,,,,,,,,,,,80.0,,,,,,,,,,,,48.0,,,,,,,,,,,,600.0,,,,,,,,,,,
1934-01-01,250.0,,,,,,,,,,,,100.0,,,,,,,,,,,,75.0,,,,,,,,,,,,750.0,,,,,,,,,,,
1935-01-01,,20.0,30.0,120.0,30.0,,,,,,,,,10.0,15.0,65.0,10.0,,,,,,,,,5.0,6.0,32.0,7.0,,,,,,,,,500.0,400.0,492.0,700.0,,,,,,,
1936-01-01,,9.0,11.0,50.0,20.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,
1937-01-01,,35.0,,,30.0,25.0,10.0,,,,,,,10.0,,,5.0,5.0,0.0,,,,,,,8.0,,,4.0,3.0,0.0,,,,,,,800.0,,,800.0,600.0,0.0,,,,,
1938-01-01,100.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,
1939-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-01-01,,30.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,
1946-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972-01-01,,310.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,
1973-01-01,,150.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,
1974-01-01,,,,,,,,140.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,
1975-01-01,,100.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,
1976-01-01,,125.0,,,,,,,10.0,15.0,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,,
1977-01-01,,160.0,,,,,,,20.0,20.0,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,,
1978-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,,,,,,,,,50.0,,200.0,240.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0
2023-01-01,,,,,,,,,100.0,,300.0,260.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0
2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
