,superficie_sembrada_ha_centeno_indefinido_Jujuy,superficie_sembrada_ha_centeno_Cochinoca_Jujuy,superficie_sembrada_ha_centeno_El Carmen_Jujuy,superficie_sembrada_ha_centeno_La Capital_Jujuy,superficie_sembrada_ha_centeno_Tumbaya_Jujuy,superficie_sembrada_ha_centeno_Yaví_Jujuy,superficie_sembrada_ha_centeno_Ledesma_Jujuy,superficie_sembrada_ha_centeno_Santa Bárbara_Jujuy,superficie_sembrada_ha_centeno_Valle Grande_Jujuy,superficie_sembrada_ha_centeno_San Antonio_Jujuy,superficie_sembrada_ha_centeno_San Pedro_Jujuy,superficie_sembrada_ha_centeno_Tilcara_Jujuy,superficie_sembrada_ha_centeno_Rinconada_Jujuy,superficie_cosechada_ha_centeno_indefinido_Jujuy,superficie_cosechada_ha_centeno_Cochinoca_Jujuy,superficie_cosechada_ha_centeno_El Carmen_Jujuy,superficie_cosechada_ha_centeno_La Capital_Jujuy,superficie_cosechada_ha_centeno_Tumbaya_Jujuy,superficie_cosechada_ha_centeno_Yaví_Jujuy,superficie_cosechada_ha_centeno_Ledesma_Jujuy,superficie_cosechada_ha_centeno_Santa Bárbara_Jujuy,superficie_cosechada_ha_centeno_Valle Grande_Jujuy,superficie_cosechada_ha_centeno_San Antonio_Jujuy,superficie_cosechada_ha_centeno_San Pedro_Jujuy,superficie_cosechada_ha_centeno_Tilcara_Jujuy,superficie_cosechada_ha_centeno_Rinconada_Jujuy,produccion_tm_centeno_indefinido_Jujuy,produccion_tm_centeno_Cochinoca_Jujuy,produccion_tm_centeno_El Carmen_Jujuy,produccion_tm_centeno_La Capital_Jujuy,produccion_tm_centeno_Tumbaya_Jujuy,produccion_tm_centeno_Yaví_Jujuy,produccion_tm_centeno_Ledesma_Jujuy,produccion_tm_centeno_Santa Bárbara_Jujuy,produccion_tm_centeno_Valle Grande_Jujuy,produccion_tm_centeno_San Antonio_Jujuy,produccion_tm_centeno_San Pedro_Jujuy,produccion_tm_centeno_Tilcara_Jujuy,produccion_tm_centeno_Rinconada_Jujuy,rendimiento_kgxha_centeno_indefinido_Jujuy,rendimiento_kgxha_centeno_Cochinoca_Jujuy,rendimiento_kgxha_centeno_El Carmen_Jujuy,rendimiento_kgxha_centeno_La Capital_Jujuy,rendimiento_kgxha_centeno_Tumbaya_Jujuy,rendimiento_kgxha_centeno_Yaví_Jujuy,rendimiento_kgxha_centeno_Ledesma_Jujuy,rendimiento_kgxha_centeno_Santa Bárbara_Jujuy,rendimiento_kgxha_centeno_Valle Grande_Jujuy,rendimiento_kgxha_centeno_San Antonio_Jujuy,rendimiento_kgxha_centeno_San Pedro_Jujuy,rendimiento_kgxha_centeno_Tilcara_Jujuy,rendimiento_kgxha_centeno_Rinconada_Jujuy
1923-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-01-01,430.0,,,,,,,,,,,,,138.0,,,,,,,,,,,,,87.0,,,,,,,,,,,,,630.0,,,,,,,,,,,,
1926-01-01,1050.0,,,,,,,,,,,,,476.0,,,,,,,,,,,,,260.0,,,,,,,,,,,,,546.0,,,,,,,,,,,,
1927-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-01,1300.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,
1929-01-01,1300.0,,,,,,,,,,,,,900.0,,,,,,,,,,,,,900.0,,,,,,,,,,,,,1000.0,,,,,,,,,,,,
1930-01-01,1300.0,,,,,,,,,,,,,400.0,,,,,,,,,,,,,368.0,,,,,,,,,,,,,920.0,,,,,,,,,,,,
1931-01-01,800.0,,,,,,,,,,,,,300.0,,,,,,,,,,,,,150.0,,,,,,,,,,,,,500.0,,,,,,,,,,,,
1932-01-01,980.0,,,,,,,,,,,,,480.0,,,,,,,,,,,,,264.0,,,,,,,,,,,,,550.0,,,,,,,,,,,,
1933-01-01,900.0,,,,,,,,,,,,,300.0,,,,,,,,,,,,,195.0,,,,,,,,,,,,,650.0,,,,,,,,,,,,
1934-01-01,950.0,,,,,,,,,,,,,520.0,,,,,,,,,,,,,416.0,,,,,,,,,,,,,800.0,,,,,,,,,,,,
1935-01-01,,10.0,50.0,10.0,10.0,20.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
1936-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-01-01,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,
1938-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972-01-01,,,,,,,8.0,160.0,2.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,
1973-01-01,,,,,,3.0,10.0,157.0,,10.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,
1974-01-01,,,35.0,,10.0,,,300.0,,20.0,10.0,5.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,
1975-01-01,,,50.0,,16.0,,,25.0,,30.0,10.0,5.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,
1976-01-01,,,40.0,,15.0,,,300.0,,20.0,5.0,5.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,
1977-01-01,,,40.0,,,,,160.0,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,
1978-01-01,,,50.0,,,,,160.0,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,
1979-01-01,,,50.0,,,,,20.0,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,
1980-01-01,,,50.0,,,,15.0,15.0,,15.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,
1981-01-01,,,45.0,,,,15.0,15.0,,10.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,
1982-01-01,,,50.0,,,,15.0,15.0,,10.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,
1983-01-01,,,50.0,,,,15.0,15.0,,10.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,
1984-01-01,,,50.0,,,,15.0,10.0,,10.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,
1985-01-01,,,40.0,,,,,10.0,,10.0,,,15.0,,,0.0,,,,,0.0,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,,0.0
1986-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
