,superficie_sembrada_ha_centeno_indefinido_Mendoza,superficie_sembrada_ha_centeno_General Alvear_Mendoza,superficie_sembrada_ha_centeno_Rivadavia_Mendoza,superficie_sembrada_ha_centeno_San Rafael_Mendoza,superficie_sembrada_ha_centeno_Tupungato_Mendoza,superficie_sembrada_ha_centeno_Santa Rosa_Mendoza,superficie_sembrada_ha_centeno_Tunuyán_Mendoza,superficie_sembrada_ha_centeno_Lavalle_Mendoza,superficie_sembrada_ha_centeno_San Carlos_Mendoza,superficie_sembrada_ha_centeno_San Martín_Mendoza,superficie_sembrada_ha_centeno_Las Heras_Mendoza,superficie_sembrada_ha_centeno_Luján de Cuyo_Mendoza,superficie_sembrada_ha_centeno_Malargüe_Mendoza,superficie_sembrada_ha_centeno_La Paz_Mendoza,superficie_sembrada_ha_centeno_otros departamentos_Mendoza,superficie_cosechada_ha_centeno_indefinido_Mendoza,superficie_cosechada_ha_centeno_General Alvear_Mendoza,superficie_cosechada_ha_centeno_Rivadavia_Mendoza,superficie_cosechada_ha_centeno_San Rafael_Mendoza,superficie_cosechada_ha_centeno_Tupungato_Mendoza,superficie_cosechada_ha_centeno_Santa Rosa_Mendoza,superficie_cosechada_ha_centeno_Tunuyán_Mendoza,superficie_cosechada_ha_centeno_Lavalle_Mendoza,superficie_cosechada_ha_centeno_San Carlos_Mendoza,superficie_cosechada_ha_centeno_San Martín_Mendoza,superficie_cosechada_ha_centeno_Las Heras_Mendoza,superficie_cosechada_ha_centeno_Luján de Cuyo_Mendoza,superficie_cosechada_ha_centeno_Malargüe_Mendoza,superficie_cosechada_ha_centeno_La Paz_Mendoza,superficie_cosechada_ha_centeno_otros departamentos_Mendoza,produccion_tm_centeno_indefinido_Mendoza,produccion_tm_centeno_General Alvear_Mendoza,produccion_tm_centeno_Rivadavia_Mendoza,produccion_tm_centeno_San Rafael_Mendoza,produccion_tm_centeno_Tupungato_Mendoza,produccion_tm_centeno_Santa Rosa_Mendoza,produccion_tm_centeno_Tunuyán_Mendoza,produccion_tm_centeno_Lavalle_Mendoza,produccion_tm_centeno_San Carlos_Mendoza,produccion_tm_centeno_San Martín_Mendoza,produccion_tm_centeno_Las Heras_Mendoza,produccion_tm_centeno_Luján de Cuyo_Mendoza,produccion_tm_centeno_Malargüe_Mendoza,produccion_tm_centeno_La Paz_Mendoza,produccion_tm_centeno_otros departamentos_Mendoza,rendimiento_kgxha_centeno_indefinido_Mendoza,rendimiento_kgxha_centeno_General Alvear_Mendoza,rendimiento_kgxha_centeno_Rivadavia_Mendoza,rendimiento_kgxha_centeno_San Rafael_Mendoza,rendimiento_kgxha_centeno_Tupungato_Mendoza,rendimiento_kgxha_centeno_Santa Rosa_Mendoza,rendimiento_kgxha_centeno_Tunuyán_Mendoza,rendimiento_kgxha_centeno_Lavalle_Mendoza,rendimiento_kgxha_centeno_San Carlos_Mendoza,rendimiento_kgxha_centeno_San Martín_Mendoza,rendimiento_kgxha_centeno_Las Heras_Mendoza,rendimiento_kgxha_centeno_Luján de Cuyo_Mendoza,rendimiento_kgxha_centeno_Malargüe_Mendoza,rendimiento_kgxha_centeno_La Paz_Mendoza,rendimiento_kgxha_centeno_otros departamentos_Mendoza
1923-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-01-01,150.0,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,780.0,,,,,,,,,,,,,,
1926-01-01,4600.0,,,,,,,,,,,,,,,2070.0,,,,,,,,,,,,,,,1130.0,,,,,,,,,,,,,,,546.0,,,,,,,,,,,,,,
1927-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-01,4000.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
1929-01-01,2900.0,,,,,,,,,,,,,,,1800.0,,,,,,,,,,,,,,,2160.0,,,,,,,,,,,,,,,1200.0,,,,,,,,,,,,,,
1930-01-01,2600.0,,,,,,,,,,,,,,,1500.0,,,,,,,,,,,,,,,1350.0,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,
1931-01-01,2000.0,,,,,,,,,,,,,,,800.0,,,,,,,,,,,,,,,588.0,,,,,,,,,,,,,,,735.0,,,,,,,,,,,,,,
1932-01-01,2000.0,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,650.0,,,,,,,,,,,,,,,650.0,,,,,,,,,,,,,,
1933-01-01,1950.0,,,,,,,,,,,,,,,630.0,,,,,,,,,,,,,,,504.0,,,,,,,,,,,,,,,800.0,,,,,,,,,,,,,,
1934-01-01,1900.0,,,,,,,,,,,,,,,1100.0,,,,,,,,,,,,,,,1210.0,,,,,,,,,,,,,,,1100.0,,,,,,,,,,,,,,
1935-01-01,,35.0,5.0,100.0,360.0,,,,,,,,,,,,15.0,0.0,80.0,105.0,,,,,,,,,,,,14.0,0.0,70.0,96.0,,,,,,,,,,,,933.0,0.0,875.0,914.0,,,,,,,,,,
1936-01-01,,30.0,3.0,56.0,310.0,1.0,,,,,,,,,,,30.0,3.0,51.0,115.0,1.0,,,,,,,,,,,24.0,3.0,43.0,57.0,1.0,,,,,,,,,,,800.0,1000.0,843.0,500.0,1000.0,,,,,,,,,
1937-01-01,,200.0,100.0,135.0,200.0,50.0,150.0,,,,,,,,,,50.0,30.0,50.0,110.0,10.0,50.0,,,,,,,,,,55.0,25.0,50.0,100.0,10.0,60.0,,,,,,,,,,1100.0,833.0,1000.0,909.0,1000.0,1200.0,,,,,,,,
1938-01-01,,250.0,95.0,180.0,75.0,,,,,,,,,,,,120.0,0.0,135.0,45.0,,,,,,,,,,,,35.0,0.0,43.0,10.0,,,,,,,,,,,,292.0,0.0,319.0,222.0,,,,,,,,,,
1939-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-01-01,,90.0,15.0,45.0,15.0,,,,,,,,,,,,90.0,15.0,45.0,15.0,,,,,,,,,,,,117.0,19.0,54.0,16.0,,,,,,,,,,,,1300.0,1250.0,1200.0,1100.0,,,,,,,,,,
1941-01-01,,200.0,60.0,600.0,100.0,,100.0,10.0,200.0,49.0,,,,,,,200.0,60.0,600.0,100.0,,100.0,10.0,200.0,49.0,,,,,,,280.0,78.0,780.0,140.0,,140.0,12.0,256.0,64.0,,,,,,,1400.0,1300.0,1300.0,1400.0,,1400.0,1200.0,1280.0,1300.0,,,,,
1942-01-01,,285.0,,200.0,100.0,,100.0,100.0,50.0,,100.0,50.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,
1943-01-01,,110.0,,210.0,15.0,,10.0,20.0,,,,,,,,,22.0,,42.0,0.0,,0.0,20.0,,,,,,,,,33.0,,63.0,0.0,,0.0,23.0,,,,,,,,,1500.0,,1500.0,0.0,,0.0,1150.0,,,,,,,
1944-01-01,,120.0,,250.0,1100.0,,150.0,,200.0,,,,,,,,12.0,,25.0,0.0,,50.0,,0.0,,,,,,,,21.0,,45.0,0.0,,50.0,,0.0,,,,,,,,1800.0,,1800.0,0.0,,1000.0,,0.0,,,,,,
1945-01-01,,100.0,,230.0,1300.0,,100.0,,500.0,,,,,,,,50.0,,150.0,150.0,,80.0,,500.0,,,,,,,,90.0,,270.0,270.0,,120.0,,1000.0,,,,,,,,1800.0,,1800.0,1800.0,,1500.0,,2000.0,,,,,,
1946-01-01,,102.0,,106.0,1500.0,,100.0,100.0,500.0,,20.0,,,,,,51.0,,53.0,150.0,,5.0,50.0,50.0,,10.0,,,,,,82.0,,85.0,240.0,,4.0,45.0,45.0,,9.0,,,,,,1608.0,,1604.0,800.0,,800.0,900.0,900.0,,900.0,,,,
1947-01-01,,100.0,,100.0,1400.0,,120.0,120.0,450.0,,20.0,,,,,,60.0,,70.0,900.0,,70.0,100.0,350.0,,10.0,,,,,,90.0,,105.0,1170.0,,105.0,120.0,455.0,,14.0,,,,,,1500.0,,1500.0,1300.0,,1500.0,1200.0,1300.0,,1400.0,,,,
1948-01-01,,100.0,,150.0,1340.0,,100.0,130.0,450.0,,30.0,,,,,,50.0,,50.0,840.0,,60.0,80.0,350.0,,15.0,,,,,,60.0,,65.0,1008.0,,84.0,88.0,525.0,,18.0,,,,,,1200.0,,1300.0,1200.0,,1400.0,1100.0,1500.0,,1200.0,,,,
1949-01-01,,100.0,,150.0,1800.0,,120.0,150.0,600.0,,30.0,,,,,,20.0,,30.0,800.0,,75.0,90.0,370.0,,15.0,,,,,,16.0,,24.0,960.0,,90.0,99.0,444.0,,18.0,,,,,,800.0,,800.0,1200.0,,1200.0,1100.0,1200.0,,1200.0,,,,
1950-01-01,,100.0,,150.0,600.0,,60.0,90.0,200.0,,,,,,,,20.0,,30.0,500.0,,40.0,50.0,150.0,,,,,,,,16.0,,24.0,650.0,,52.0,55.0,195.0,,,,,,,,800.0,,800.0,1300.0,,1300.0,1100.0,1300.0,,,,,,
1951-01-01,,80.0,,100.0,600.0,,60.0,,200.0,,,,20.0,,,,15.0,,20.0,600.0,,60.0,,180.0,,,,5.0,,,,12.0,,12.0,780.0,,78.0,,234.0,,,,4.0,,,,800.0,,600.0,1300.0,,1300.0,,1300.0,,,,800.0,,
1952-01-01,,80.0,,100.0,600.0,,60.0,,200.0,,,,20.0,,,,70.0,,85.0,0.0,,0.0,,20.0,,,,15.0,,,,8.0,,12.0,780.0,,78.0,,234.0,,,,4.0,,,,800.0,,800.0,1300.0,,1300.0,,1300.0,,,,800.0,,
1953-01-01,,70.0,,90.0,600.0,,60.0,,200.0,,,,20.0,,,,10.0,,10.0,480.0,,50.0,,160.0,,,,5.0,,,,8.0,,8.0,624.0,,65.0,,208.0,,,,4.0,,,,800.0,,800.0,1300.0,,1300.0,,1300.0,,,,800.0,,
1954-01-01,,70.0,,100.0,600.0,,60.0,,250.0,,,,30.0,,,,10.0,,15.0,500.0,,60.0,,100.0,,,,5.0,,,,8.0,,12.0,630.0,,78.0,,127.0,,,,4.0,,,,800.0,,800.0,1260.0,,1300.0,,1270.0,,,,800.0,,
1955-01-01,,60.0,,100.0,780.0,,90.0,,270.0,,,,30.0,,,,10.0,,15.0,700.0,,80.0,,250.0,,,,5.0,,,,8.0,,12.0,910.0,,104.0,,325.0,,,,4.0,,,,800.0,,800.0,1300.0,,1300.0,,1300.0,,,,800.0,,
1956-01-01,,40.0,,100.0,700.0,,80.0,,250.0,,,,30.0,,,,5.0,,15.0,650.0,,70.0,,210.0,,,,5.0,,,,4.0,,12.0,832.0,,91.0,,273.0,,,,4.0,,,,800.0,,800.0,1280.0,,1300.0,,1300.0,,,,800.0,,
1957-01-01,,30.0,,100.0,650.0,,80.0,,200.0,,,,20.0,,,,5.0,,15.0,590.0,,65.0,,170.0,,,,5.0,,,,4.0,,12.0,767.0,,91.0,,221.0,,,,5.0,,,,800.0,,800.0,1300.0,,1400.0,,1300.0,,,,1000.0,,
1958-01-01,,,,50.0,680.0,,80.0,,220.0,,,,10.0,80.0,,,,,10.0,600.0,,70.0,,180.0,,,,5.0,0.0,,,,,9.0,780.0,,91.0,,234.0,,,,4.0,0.0,,,,,900.0,1300.0,,1300.0,,1300.0,,,,800.0,0.0,
1959-01-01,,,,50.0,650.0,,80.0,,200.0,,,,,,,,,,10.0,610.0,,70.0,,170.0,,,,,,,,,,8.0,793.0,,91.0,,221.0,,,,,,,,,,800.0,1300.0,,1300.0,,1300.0,,,,,,
1960-01-01,,,,60.0,700.0,,80.0,,220.0,,,,,,,,,,10.0,640.0,,70.0,,180.0,,,,,,,,,,8.0,847.0,,91.0,,234.0,,,,,,,,,,800.0,1323.0,,1300.0,,1300.0,,,,,,
1961-01-01,,,,70.0,750.0,,100.0,,240.0,,,,,,,,,,10.0,680.0,,85.0,,200.0,,,,,,,,,,8.0,884.0,,102.0,,256.0,,,,,,,,,,800.0,1300.0,,1200.0,,1280.0,,,,,,
1962-01-01,,,,80.0,765.0,,105.0,,250.0,,,,,,,,,,10.0,690.0,,93.0,,205.0,,,,,,,,,,8.0,897.0,,117.0,,260.0,,,,,,,,,,800.0,1300.0,,1258.0,,1268.0,,,,,,
1963-01-01,,40.0,,88.0,790.0,,110.0,,260.0,,,,20.0,,,,5.0,,18.0,710.0,,90.0,,210.0,,,,0.0,,,,4.0,,15.0,923.0,,117.0,,252.0,,,,0.0,,,,800.0,,833.0,1300.0,,1300.0,,1200.0,,,,0.0,,
1964-01-01,,40.0,,80.0,834.0,,114.0,,262.0,,,,20.0,,,,5.0,,10.0,750.0,,95.0,,200.0,,,,0.0,,,,4.0,,8.0,945.0,,117.0,,256.0,,,,0.0,,,,800.0,,800.0,1260.0,,1232.0,,1280.0,,,,0.0,,
1965-01-01,,30.0,,70.0,840.0,,120.0,,270.0,,,,20.0,,,,5.0,,10.0,730.0,,90.0,,200.0,,,,0.0,,,,4.0,,8.0,949.0,,117.0,,260.0,,,,0.0,,,,800.0,,800.0,1300.0,,1300.0,,1300.0,,,,0.0,,
1966-01-01,,30.0,,80.0,850.0,,120.0,,290.0,,,,30.0,,,,5.0,,20.0,720.0,,100.0,,250.0,,,,5.0,,,,4.0,,12.0,925.0,,130.0,,325.0,,,,4.0,,,,800.0,,600.0,1284.0,,1300.0,,1300.0,,,,800.0,,
1967-01-01,,20.0,,100.0,810.0,,275.0,,275.0,,,,20.0,,,,0.0,,20.0,710.0,,170.0,,200.0,,,,0.0,,,,0.0,,16.0,923.0,,221.0,,240.0,,,,0.0,,,,0.0,,800.0,1300.0,,1300.0,,1200.0,,,,0.0,,
1968-01-01,,30.0,,100.0,880.0,,290.0,,280.0,,,,20.0,,,,20.0,,30.0,750.0,,180.0,,210.0,,,,10.0,,,,20.0,,30.0,948.0,,200.0,,294.0,,,,8.0,,,,1000.0,,1000.0,1264.0,,1111.0,,1400.0,,,,800.0,,
1969-01-01,,30.0,,80.0,870.0,,300.0,,300.0,,,,20.0,,,,10.0,,20.0,740.0,,180.0,,200.0,,,,0.0,,,,8.0,,16.0,962.0,,234.0,,280.0,,,,0.0,,,,800.0,,800.0,1300.0,,1300.0,,1400.0,,,,0.0,,
1970-01-01,,30.0,,70.0,900.0,,300.0,,310.0,,,,30.0,,,,10.0,,20.0,750.0,,180.0,,235.0,,,,5.0,,,,8.0,,16.0,888.0,,204.0,,280.0,,,,4.0,,,,800.0,,800.0,1184.0,,1133.0,,1191.0,,,,800.0,,
1971-01-01,,25.0,,60.0,850.0,,280.0,,300.0,,,,25.0,,,,5.0,,10.0,725.0,,155.0,,230.0,,,,5.0,,,,4.0,,8.0,862.0,,186.0,,276.0,,,,4.0,,,,800.0,,800.0,1189.0,,1200.0,,1200.0,,,,800.0,,
1972-01-01,,25.0,,70.0,900.0,,300.0,,350.0,,,,45.0,,,,5.0,,15.0,720.0,,150.0,,200.0,,,,20.0,,,,4.0,,12.0,848.0,,180.0,,240.0,,,,16.0,,,,800.0,,800.0,1178.0,,1200.0,,1200.0,,,,800.0,,
1973-01-01,,,,75.0,1010.0,,350.0,25.0,400.0,,,,40.0,,,,,,15.0,765.0,,175.0,5.0,230.0,,,,10.0,,,,,,12.0,890.0,,210.0,4.0,276.0,,,,8.0,,,,,,800.0,1163.0,,1200.0,800.0,1200.0,,,,800.0,,
1974-01-01,,,,,900.0,,300.0,,300.0,,,,,,,,,,,100.0,,60.0,,50.0,,,,,,,,,,,118.0,,72.0,,60.0,,,,,,,,,,,1180.0,,1200.0,,1200.0,,,,,,
1975-01-01,,,,340.0,870.0,,290.0,,,,,,,,,,,,60.0,100.0,,60.0,,,,,,,,,,,,65.0,120.0,,65.0,,,,,,,,,,,,1083.0,1200.0,,1083.0,,,,,,,,
1976-01-01,,,,,900.0,,300.0,,350.0,,,,,,,,,,,120.0,,60.0,,70.0,,,,,,,,,,,107.0,,66.0,,77.0,,,,,,,,,,,892.0,,1100.0,,1100.0,,,,,,
1977-01-01,,,,,900.0,,300.0,,350.0,,,,,,,,,,,100.0,,60.0,,70.0,,,,,,,,,,,107.0,,66.0,,77.0,,,,,,,,,,,1070.0,,1100.0,,1100.0,,,,,,
1978-01-01,,,,,900.0,,300.0,,400.0,,,,,,,,,,,150.0,,60.0,,90.0,,,,,,,,,,,90.0,,50.0,,60.0,,,,,,,,,,,600.0,,833.0,,667.0,,,,,,
1979-01-01,,,,,950.0,,300.0,,350.0,,,,,,,,,,,120.0,,50.0,,50.0,,,,,,,,,,,100.0,,50.0,,50.0,,,,,,,,,,,833.0,,1000.0,,1000.0,,,,,,
1980-01-01,,,,,900.0,,300.0,,350.0,,,,,,,,,,,100.0,,50.0,,50.0,,,,,,,,,,,100.0,,50.0,,50.0,,,,,,,,,,,1000.0,,1000.0,,1000.0,,,,,,
1981-01-01,,,,,875.0,65.0,300.0,,350.0,10.0,,,,,,,,,,85.0,15.0,50.0,,50.0,0.0,,,,,,,,,,85.0,15.0,50.0,,50.0,0.0,,,,,,,,,,1000.0,1000.0,1000.0,,1000.0,0.0,,,,,
1982-01-01,,25.0,,30.0,950.0,100.0,320.0,,380.0,30.0,,,,,,,0.0,,30.0,150.0,0.0,50.0,,80.0,20.0,,,,,,,0.0,,30.0,140.0,0.0,45.0,,75.0,20.0,,,,,,,0.0,,1000.0,933.0,0.0,900.0,,938.0,1000.0,,,,,
1983-01-01,,30.0,,50.0,980.0,120.0,320.0,40.0,400.0,60.0,,,,,,,0.0,,0.0,200.0,0.0,100.0,0.0,100.0,0.0,,,,,,,0.0,,0.0,200.0,0.0,110.0,0.0,100.0,0.0,,,,,,,0.0,,0.0,1000.0,0.0,1100.0,0.0,1000.0,0.0,,,,,
1984-01-01,,30.0,,50.0,980.0,120.0,320.0,40.0,400.0,50.0,,,,,,,0.0,,0.0,200.0,0.0,120.0,0.0,100.0,0.0,,,,,,,0.0,,0.0,200.0,0.0,120.0,0.0,100.0,0.0,,,,,,,0.0,,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,,,,,
1985-01-01,,80.0,,150.0,1000.0,150.0,350.0,50.0,450.0,50.0,,,,,,,0.0,,0.0,200.0,0.0,150.0,0.0,100.0,0.0,,,,,,,0.0,,0.0,205.0,0.0,150.0,0.0,100.0,0.0,,,,,,,0.0,,0.0,1025.0,0.0,1000.0,0.0,1000.0,0.0,,,,,
1986-01-01,,80.0,,150.0,1000.0,150.0,350.0,50.0,370.0,50.0,,,,,,,0.0,,0.0,150.0,0.0,50.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,150.0,0.0,50.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,,,,,
1987-01-01,,,,,,,,,,,,,,,1960.0,,,,,,,,,,,,,,,330.0,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,909.0
1988-01-01,,80.0,,210.0,830.0,150.0,310.0,50.0,300.0,50.0,,20.0,,,,,0.0,,35.0,230.0,0.0,65.0,0.0,70.0,0.0,,0.0,,,,,0.0,,35.0,230.0,0.0,65.0,0.0,70.0,0.0,,0.0,,,,,0.0,,1000.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,,0.0,,,
1989-01-01,,85.0,,200.0,850.0,150.0,310.0,50.0,320.0,55.0,,25.0,,,,,0.0,,50.0,250.0,0.0,70.0,0.0,70.0,0.0,,0.0,,,,,0.0,,50.0,250.0,0.0,70.0,0.0,70.0,0.0,,0.0,,,,,0.0,,1000.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,,0.0,,,
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
