,superficie_sembrada_ha_centeno_indefinido_Río Negro,superficie_sembrada_ha_centeno_Adolfo Alsina_Río Negro,superficie_sembrada_ha_centeno_Avellaneda_Río Negro,superficie_sembrada_ha_centeno_Bariloche_Río Negro,superficie_sembrada_ha_centeno_General Roca_Río Negro,superficie_sembrada_ha_centeno_Pilcaniyeu_Río Negro,superficie_sembrada_ha_centeno_General Conesa_Río Negro,superficie_sembrada_ha_centeno_San Antonio_Río Negro,superficie_sembrada_ha_centeno_25 de Mayo_Río Negro,superficie_sembrada_ha_centeno_El Cuy_Río Negro,superficie_sembrada_ha_centeno_Valcheta_Río Negro,superficie_sembrada_ha_centeno_Ñorquinco_Río Negro,superficie_sembrada_ha_centeno_Pichi Mahuida_Río Negro,superficie_sembrada_ha_centeno_Conesa_Río Negro,superficie_sembrada_ha_centeno_otros departamentos_Río Negro,superficie_cosechada_ha_centeno_indefinido_Río Negro,superficie_cosechada_ha_centeno_Adolfo Alsina_Río Negro,superficie_cosechada_ha_centeno_Avellaneda_Río Negro,superficie_cosechada_ha_centeno_Bariloche_Río Negro,superficie_cosechada_ha_centeno_General Roca_Río Negro,superficie_cosechada_ha_centeno_Pilcaniyeu_Río Negro,superficie_cosechada_ha_centeno_General Conesa_Río Negro,superficie_cosechada_ha_centeno_San Antonio_Río Negro,superficie_cosechada_ha_centeno_25 de Mayo_Río Negro,superficie_cosechada_ha_centeno_El Cuy_Río Negro,superficie_cosechada_ha_centeno_Valcheta_Río Negro,superficie_cosechada_ha_centeno_Ñorquinco_Río Negro,superficie_cosechada_ha_centeno_Pichi Mahuida_Río Negro,superficie_cosechada_ha_centeno_Conesa_Río Negro,superficie_cosechada_ha_centeno_otros departamentos_Río Negro,produccion_tm_centeno_indefinido_Río Negro,produccion_tm_centeno_Adolfo Alsina_Río Negro,produccion_tm_centeno_Avellaneda_Río Negro,produccion_tm_centeno_Bariloche_Río Negro,produccion_tm_centeno_General Roca_Río Negro,produccion_tm_centeno_Pilcaniyeu_Río Negro,produccion_tm_centeno_General Conesa_Río Negro,produccion_tm_centeno_San Antonio_Río Negro,produccion_tm_centeno_25 de Mayo_Río Negro,produccion_tm_centeno_El Cuy_Río Negro,produccion_tm_centeno_Valcheta_Río Negro,produccion_tm_centeno_Ñorquinco_Río Negro,produccion_tm_centeno_Pichi Mahuida_Río Negro,produccion_tm_centeno_Conesa_Río Negro,produccion_tm_centeno_otros departamentos_Río Negro,rendimiento_kgxha_centeno_indefinido_Río Negro,rendimiento_kgxha_centeno_Adolfo Alsina_Río Negro,rendimiento_kgxha_centeno_Avellaneda_Río Negro,rendimiento_kgxha_centeno_Bariloche_Río Negro,rendimiento_kgxha_centeno_General Roca_Río Negro,rendimiento_kgxha_centeno_Pilcaniyeu_Río Negro,rendimiento_kgxha_centeno_General Conesa_Río Negro,rendimiento_kgxha_centeno_San Antonio_Río Negro,rendimiento_kgxha_centeno_25 de Mayo_Río Negro,rendimiento_kgxha_centeno_El Cuy_Río Negro,rendimiento_kgxha_centeno_Valcheta_Río Negro,rendimiento_kgxha_centeno_Ñorquinco_Río Negro,rendimiento_kgxha_centeno_Pichi Mahuida_Río Negro,rendimiento_kgxha_centeno_Conesa_Río Negro,rendimiento_kgxha_centeno_otros departamentos_Río Negro
1923-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-01-01,3100.0,,,,,,,,,,,,,,,992.0,,,,,,,,,,,,,,,923.0,,,,,,,,,,,,,,,930.0,,,,,,,,,,,,,,
1926-01-01,1050.0,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,260.0,,,,,,,,,,,,,,,520.0,,,,,,,,,,,,,,
1927-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-01,2500.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
1929-01-01,2500.0,,,,,,,,,,,,,,,1600.0,,,,,,,,,,,,,,,1712.0,,,,,,,,,,,,,,,1070.0,,,,,,,,,,,,,,
1930-01-01,2500.0,,,,,,,,,,,,,,,1100.0,,,,,,,,,,,,,,,1100.0,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,
1931-01-01,1850.0,,,,,,,,,,,,,,,1350.0,,,,,,,,,,,,,,,810.0,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,
1932-01-01,1850.0,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,,585.0,,,,,,,,,,,,,,,650.0,,,,,,,,,,,,,,
1933-01-01,2200.0,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,,720.0,,,,,,,,,,,,,,,800.0,,,,,,,,,,,,,,
1934-01-01,1950.0,,,,,,,,,,,,,,,1050.0,,,,,,,,,,,,,,,1260.0,,,,,,,,,,,,,,,1200.0,,,,,,,,,,,,,,
1935-01-01,,250.0,100.0,50.0,80.0,20.0,,,,,,,,,,,100.0,35.0,20.0,40.0,5.0,,,,,,,,,,,90.0,35.0,19.0,40.0,6.0,,,,,,,,,,,900.0,1000.0,950.0,1000.0,1200.0,,,,,,,,,
1936-01-01,,443.0,,113.0,,44.0,,,,,,,,,,,256.0,,104.0,,40.0,,,,,,,,,,,136.0,,67.0,,21.0,,,,,,,,,,,531.0,,649.0,,525.0,,,,,,,,,
1937-01-01,,300.0,120.0,50.0,100.0,30.0,,,,,,,,,,,140.0,70.0,20.0,55.0,15.0,,,,,,,,,,,54.0,25.0,7.0,20.0,8.0,,,,,,,,,,,386.0,357.0,350.0,364.0,533.0,,,,,,,,,
1938-01-01,,150.0,50.0,30.0,,,50.0,20.0,,,,,,,,,135.0,46.0,26.0,,,44.0,19.0,,,,,,,,,88.0,30.0,15.0,,,25.0,12.0,,,,,,,,,652.0,652.0,577.0,,,568.0,632.0,,,,,,,
1939-01-01,,497.0,156.0,86.0,168.0,23.0,5.0,,,,,,,,,,497.0,156.0,86.0,168.0,23.0,5.0,,,,,,,,,,208.0,68.0,42.0,68.0,11.0,3.0,,,,,,,,,,418.0,436.0,488.0,405.0,478.0,600.0,,,,,,,,
1940-01-01,,437.0,156.0,100.0,163.0,,,84.0,,,,,,,,,427.0,156.0,100.0,157.0,,,84.0,,,,,,,,,253.0,86.0,60.0,75.0,,,42.0,,,,,,,,,592.0,551.0,600.0,484.0,,,500.0,,,,,,,
1941-01-01,,437.0,156.0,100.0,113.0,,,84.0,,,,,,,,,237.0,156.0,50.0,113.0,,,34.0,,,,,,,,,118.4,85.8,30.0,67.8,,,17.0,,,,,,,,,500.0,550.0,600.0,600.0,,,500.0,,,,,,,
1942-01-01,,637.0,200.0,200.0,130.0,,,164.0,,,,,,,,,437.0,96.0,100.0,73.0,,,84.0,,,,,,,,,218.0,77.0,50.0,58.0,,,42.0,,,,,,,,,500.0,800.0,500.0,800.0,,,500.0,,,,,,,
1943-01-01,,779.0,27.0,106.0,106.0,283.0,,,1.0,1.0,11.0,2.0,,,,,779.0,10.0,63.0,20.0,170.0,,,1.0,0.0,11.0,1.0,,,,,467.0,5.0,82.0,10.0,221.0,,,1.0,0.0,7.0,1.0,,,,,600.0,500.0,1300.0,500.0,1300.0,,,1000.0,0.0,600.0,1000.0,,,
1944-01-01,,779.0,20.0,100.0,53.0,170.0,,,15.0,1.0,11.0,15.0,,,,,545.0,5.0,100.0,12.0,170.0,,,15.0,0.0,8.0,15.0,,,,,381.0,2.0,100.0,5.0,170.0,,,15.0,0.0,6.0,15.0,,,,,700.0,400.0,1000.0,417.0,1000.0,,,1000.0,0.0,750.0,1000.0,,,
1945-01-01,,779.0,5.0,100.0,8.0,170.0,,,15.0,,11.0,15.0,,,,,479.0,0.0,100.0,0.0,170.0,,,15.0,,5.0,15.0,,,,,240.0,0.0,120.0,0.0,187.0,,,17.0,,2.0,16.0,,,,,500.0,0.0,1200.0,0.0,1100.0,,,1133.0,,400.0,1067.0,,,
1946-01-01,,850.0,4.0,100.0,8.0,170.0,,,15.0,,15.0,15.0,,,,,650.0,0.0,80.0,0.0,140.0,,,15.0,,10.0,15.0,,,,,455.0,0.0,80.0,0.0,154.0,,,17.0,,7.0,17.0,,,,,700.0,0.0,1000.0,0.0,1100.0,,,1133.0,,700.0,1133.0,,,
1947-01-01,,774.0,5.0,80.0,10.0,160.0,,,10.0,,11.0,10.0,,,,,469.0,0.0,60.0,0.0,140.0,,,8.0,,5.0,8.0,,,,,235.0,0.0,60.0,0.0,140.0,,,8.0,,3.0,8.0,,,,,502.0,0.0,1000.0,0.0,1000.0,,,1000.0,,600.0,1000.0,,,
1948-01-01,,670.0,5.0,100.0,10.0,170.0,,,10.0,,15.0,20.0,,,,,350.0,0.0,40.0,0.0,87.0,,,5.0,,5.0,8.0,,,,,175.0,0.0,24.0,0.0,54.0,,,3.0,,3.0,4.0,,,,,500.0,0.0,600.0,0.0,621.0,,,600.0,,600.0,500.0,,,
1949-01-01,,850.0,5.0,100.0,10.0,,,,10.0,,15.0,20.0,,,,,550.0,0.0,70.0,0.0,,,,0.0,,10.0,20.0,,,,,275.0,0.0,56.0,0.0,,,,0.0,,5.0,12.0,,,,,500.0,0.0,800.0,0.0,,,,0.0,,500.0,600.0,,,
1950-01-01,,670.0,5.0,100.0,10.0,170.0,,,10.0,,15.0,20.0,,,,,470.0,0.0,70.0,0.0,100.0,,,5.0,,10.0,15.0,,,,,235.0,0.0,70.0,0.0,100.0,,,5.0,,7.0,12.0,,,,,500.0,0.0,1000.0,0.0,1000.0,,,1000.0,,700.0,800.0,,,
1951-01-01,,670.0,5.0,100.0,10.0,170.0,,,10.0,,15.0,20.0,,,,,400.0,0.0,63.0,0.0,110.0,,,5.0,,5.0,10.0,,,,,216.0,0.0,63.0,0.0,110.0,,,5.0,,3.0,8.0,,,,,540.0,0.0,1000.0,0.0,1000.0,,,1000.0,,600.0,800.0,,,
1952-01-01,,500.0,10.0,100.0,,150.0,,,10.0,,10.0,20.0,,,,,250.0,5.0,40.0,,50.0,,,5.0,,5.0,10.0,,,,,130.0,3.0,60.0,,100.0,,,4.0,,3.0,8.0,,,,,520.0,600.0,1000.0,,1000.0,,,800.0,,600.0,800.0,,,
1953-01-01,,300.0,,60.0,,100.0,,,,,,20.0,,,,,250.0,,50.0,,70.0,,,,,,20.0,,,,,150.0,,45.0,,63.0,,,,,,16.0,,,,,600.0,,900.0,,900.0,,,,,,800.0,,,
1954-01-01,,200.0,,50.0,,80.0,,,,,,20.0,,,,,150.0,,50.0,,60.0,,,,,,20.0,,,,,90.0,,40.0,,48.0,,,,,,16.0,,,,,600.0,,800.0,,800.0,,,,,,800.0,,,
1955-01-01,,200.0,,40.0,,60.0,,,,,,15.0,,,,,100.0,,20.0,,20.0,,,,,,0.0,,,,,50.0,,14.0,,14.0,,,,,,0.0,,,,,500.0,,700.0,,700.0,,,,,,0.0,,,
1956-01-01,,180.0,,35.0,,50.0,,,,,,15.0,,,,,180.0,,20.0,,20.0,,,,,,5.0,,,,,90.0,,14.0,,13.0,,,,,,3.0,,,,,500.0,,700.0,,650.0,,,,,,600.0,,,
1957-01-01,,100.0,,35.0,,40.0,,,,,,15.0,,,,,30.0,,10.0,,10.0,,,,,,0.0,,,,,18.0,,8.0,,6.0,,,,,,0.0,,,,,600.0,,800.0,,600.0,,,,,,0.0,,,
1958-01-01,,100.0,,30.0,,35.0,,,,,,15.0,,,,,60.0,,10.0,,10.0,,,,,,10.0,,,,,33.0,,7.0,,7.0,,,,,,6.0,,,,,550.0,,700.0,,700.0,,,,,,600.0,,,
1959-01-01,,350.0,,30.0,,40.0,,,,,,15.0,,,,,330.0,,20.0,,20.0,,,,,,5.0,,,,,198.0,,14.0,,14.0,,,,,,3.0,,,,,600.0,,700.0,,700.0,,,,,,600.0,,,
1960-01-01,,500.0,,30.0,,30.0,,,,,,,,,,,420.0,,20.0,,20.0,,,,,,,,,,,273.0,,14.0,,13.0,,,,,,,,,,,650.0,,700.0,,650.0,,,,,,,,,
1961-01-01,,450.0,,20.0,,20.0,,,,,,,,,,,400.0,,15.0,,20.0,,,,,,,,,,,280.0,,9.0,,11.0,,,,,,,,,,,700.0,,600.0,,550.0,,,,,,,,,
1962-01-01,,500.0,130.0,50.0,,50.0,,,,,,,,,,,280.0,80.0,40.0,,40.0,,,,,,,,,,,182.0,52.0,28.0,,26.0,,,,,,,,,,,600.0,650.0,700.0,,650.0,,,,,,,,,
1963-01-01,,450.0,150.0,70.0,,70.0,,,,,,,,,,,270.0,120.0,50.0,,40.0,,,,,,,,,,,189.0,84.0,37.0,,28.0,,,,,,,,,,,700.0,700.0,740.0,,700.0,,,,,,,,,
1964-01-01,,490.0,180.0,50.0,,80.0,,,,,,,,,,,340.0,150.0,40.0,,60.0,,,,,,,,,,,289.0,114.0,32.0,,45.0,,,,,,,,,,,850.0,760.0,800.0,,750.0,,,,,,,,,
1965-01-01,,550.0,220.0,40.0,,90.0,,,,,,,,,,,350.0,170.0,30.0,,70.0,,,,,,,,,,,280.0,136.0,21.0,,49.0,,,,,,,,,,,800.0,800.0,700.0,,700.0,,,,,,,,,
1966-01-01,,600.0,200.0,40.0,,120.0,,,,,,,,,,,380.0,180.0,30.0,,110.0,,,,,,,,,,,256.0,135.0,21.0,,88.0,,,,,,,,,,,674.0,750.0,700.0,,800.0,,,,,,,,,
1967-01-01,,650.0,240.0,40.0,,150.0,,,,,,,,,,,450.0,200.0,20.0,,130.0,,,,,,,,,,,288.0,145.0,16.0,,91.0,,,,,,,,,,,640.0,725.0,800.0,,700.0,,,,,,,,,
1968-01-01,,600.0,230.0,40.0,,130.0,,,,,,,,,,,420.0,200.0,30.0,,100.0,,,,,,,,,,,336.0,140.0,24.0,,70.0,,,,,,,,,,,800.0,700.0,800.0,,700.0,,,,,,,,,
1969-01-01,,650.0,250.0,50.0,,150.0,,,,,,,,,,,580.0,220.0,50.0,,110.0,,,,,,,,,,,418.0,165.0,40.0,,77.0,,,,,,,,,,,721.0,750.0,800.0,,700.0,,,,,,,,,
1970-01-01,,600.0,280.0,60.0,,170.0,,,,,,,,,,,600.0,280.0,60.0,,170.0,,,,,,,,,,,420.0,180.0,45.0,,115.0,,,,,,,,,,,700.0,643.0,750.0,,676.0,,,,,,,,,
1971-01-01,,750.0,300.0,70.0,,140.0,,,,,,,,,,,750.0,300.0,70.0,,140.0,,,,,,,,,,,713.0,240.0,56.0,,91.0,,,,,,,,,,,951.0,800.0,800.0,,650.0,,,,,,,,,
1972-01-01,,900.0,180.0,70.0,,160.0,,,,,,,,,,,900.0,180.0,70.0,,160.0,,,,,,,,,,,810.0,144.0,56.0,,120.0,,,,,,,,,,,900.0,800.0,800.0,,750.0,,,,,,,,,
1973-01-01,,900.0,180.0,70.0,,160.0,,,,,,,1210.0,,,,80.0,80.0,70.0,,60.0,,,,,,,210.0,,,,32.0,40.0,44.0,,30.0,,,,,,,84.0,,,,400.0,500.0,629.0,,500.0,,,,,,,400.0,,
1974-01-01,,1270.0,200.0,100.0,200.0,300.0,,,,,,,1400.0,1000.0,,,470.0,100.0,100.0,100.0,0.0,,,,,,,600.0,300.0,,,450.0,80.0,70.0,80.0,0.0,,,,,,,420.0,270.0,,,957.0,800.0,700.0,800.0,0.0,,,,,,,700.0,900.0,
1975-01-01,,2000.0,500.0,100.0,500.0,300.0,,,,,,,2500.0,2000.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,
1976-01-01,,2500.0,500.0,100.0,500.0,300.0,,,,,,,3000.0,2500.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,
1977-01-01,,2500.0,500.0,100.0,500.0,300.0,,,,,,,3000.0,2500.0,,,600.0,100.0,100.0,100.0,0.0,,,,,,,700.0,500.0,,,330.0,50.0,70.0,50.0,0.0,,,,,,,350.0,250.0,,,550.0,500.0,700.0,500.0,0.0,,,,,,,500.0,500.0,
1978-01-01,,5730.0,3000.0,1500.0,900.0,500.0,,,,,,,6000.0,5000.0,,,500.0,200.0,100.0,0.0,0.0,,,,,,,200.0,200.0,,,460.0,185.0,100.0,0.0,0.0,,,,,,,165.0,160.0,,,920.0,925.0,1000.0,0.0,0.0,,,,,,,825.0,800.0,
1979-01-01,,2500.0,500.0,100.0,500.0,300.0,,,,,,,3100.0,2500.0,,,500.0,100.0,80.0,50.0,50.0,,,,,,,470.0,200.0,,,345.0,70.0,70.0,40.0,35.0,,,,,,,400.0,140.0,,,690.0,700.0,875.0,800.0,700.0,,,,,,,851.0,700.0,
1980-01-01,,2600.0,600.0,200.0,600.0,400.0,,100.0,,100.0,50.0,,3200.0,2500.0,,,500.0,150.0,50.0,100.0,80.0,,0.0,,20.0,0.0,,500.0,300.0,,,350.0,105.0,45.0,80.0,56.0,,0.0,,14.0,0.0,,300.0,150.0,,,700.0,700.0,900.0,800.0,700.0,,0.0,,700.0,0.0,,600.0,500.0,
1981-01-01,,1000.0,300.0,100.0,80.0,130.0,,,,50.0,30.0,,300.0,510.0,,,500.0,130.0,70.0,50.0,50.0,,,,35.0,10.0,,120.0,185.0,,,355.0,104.0,63.0,42.0,35.0,,,,30.0,7.0,,84.0,160.0,,,710.0,800.0,900.0,840.0,700.0,,,,857.0,700.0,,700.0,865.0,
1982-01-01,,600.0,220.0,100.0,60.0,150.0,,,,30.0,40.0,,280.0,300.0,,,220.0,120.0,60.0,30.0,50.0,,,,0.0,10.0,,50.0,90.0,,,165.0,102.0,54.0,27.0,30.0,,,,0.0,6.0,,34.0,72.0,,,750.0,850.0,900.0,900.0,600.0,,,,0.0,600.0,,680.0,800.0,
1983-01-01,,400.0,200.0,80.0,30.0,180.0,,,,,70.0,,220.0,120.0,,,170.0,100.0,20.0,0.0,70.0,,,,,40.0,,0.0,40.0,,,123.0,82.0,17.0,0.0,44.0,,,,,25.0,,0.0,29.0,,,724.0,820.0,850.0,0.0,629.0,,,,,625.0,,0.0,725.0,
1984-01-01,,150.0,150.0,60.0,,150.0,,,,,50.0,,260.0,120.0,,,70.0,75.0,25.0,,50.0,,,,,20.0,,0.0,50.0,,,63.0,71.0,24.0,,35.0,,,,,14.0,,0.0,40.0,,,900.0,947.0,960.0,,700.0,,,,,700.0,,0.0,800.0,
1985-01-01,,50.0,120.0,40.0,,130.0,,,,,30.0,,230.0,80.0,,,15.0,30.0,10.0,,27.0,,,,,0.0,,0.0,28.0,,,13.0,28.0,9.0,,25.0,,,,,0.0,,0.0,30.0,,,867.0,933.0,900.0,,926.0,,,,,0.0,,0.0,1071.0,
1986-01-01,,20.0,150.0,30.0,,100.0,,,,,30.0,,200.0,60.0,,,10.0,50.0,0.0,,10.0,,,,,0.0,,0.0,20.0,,,8.0,44.0,0.0,,7.0,,,,,0.0,,0.0,16.0,,,800.0,880.0,0.0,,700.0,,,,,0.0,,0.0,800.0,
1987-01-01,,,,,,,,,,,,,,,685.0,,,,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,800.0
1988-01-01,,40.0,135.0,25.0,,60.0,,,,,30.0,,230.0,80.0,,,20.0,30.0,0.0,,0.0,,,,,0.0,,35.0,35.0,,,15.0,25.0,0.0,,0.0,,,,,0.0,,30.0,30.0,,,750.0,833.0,0.0,,0.0,,,,,0.0,,857.0,857.0,
1989-01-01,,30.0,110.0,20.0,,40.0,,,,,20.0,,180.0,70.0,,,10.0,30.0,0.0,,0.0,,,,,0.0,,30.0,30.0,,,10.0,30.0,0.0,,0.0,,,,,0.0,,30.0,30.0,,,1000.0,1000.0,0.0,,0.0,,,,,0.0,,1000.0,1000.0,
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
