,superficie_sembrada_ha_centeno_Ayacucho_San Luis,superficie_sembrada_ha_centeno_Capital_San Luis,superficie_sembrada_ha_centeno_Chacabuco_San Luis,superficie_sembrada_ha_centeno_Coronel Pringles_San Luis,superficie_sembrada_ha_centeno_General Belgrano_San Luis,superficie_sembrada_ha_centeno_General Pedernera_San Luis,superficie_sembrada_ha_centeno_Junín_San Luis,superficie_sembrada_ha_centeno_Libertador General San Martín_San Luis,superficie_sembrada_ha_centeno_Belgrano_San Luis,superficie_sembrada_ha_centeno_Gobernador Dupuy_San Luis,superficie_sembrada_ha_centeno_Juan Martín de Pueyrredón_San Luis,superficie_sembrada_ha_centeno_otros departamentos_San Luis,superficie_cosechada_ha_centeno_Ayacucho_San Luis,superficie_cosechada_ha_centeno_Capital_San Luis,superficie_cosechada_ha_centeno_Chacabuco_San Luis,superficie_cosechada_ha_centeno_Coronel Pringles_San Luis,superficie_cosechada_ha_centeno_General Belgrano_San Luis,superficie_cosechada_ha_centeno_General Pedernera_San Luis,superficie_cosechada_ha_centeno_Junín_San Luis,superficie_cosechada_ha_centeno_Libertador General San Martín_San Luis,superficie_cosechada_ha_centeno_Belgrano_San Luis,superficie_cosechada_ha_centeno_Gobernador Dupuy_San Luis,superficie_cosechada_ha_centeno_Juan Martín de Pueyrredón_San Luis,superficie_cosechada_ha_centeno_otros departamentos_San Luis,produccion_tm_centeno_Ayacucho_San Luis,produccion_tm_centeno_Capital_San Luis,produccion_tm_centeno_Chacabuco_San Luis,produccion_tm_centeno_Coronel Pringles_San Luis,produccion_tm_centeno_General Belgrano_San Luis,produccion_tm_centeno_General Pedernera_San Luis,produccion_tm_centeno_Junín_San Luis,produccion_tm_centeno_Libertador General San Martín_San Luis,produccion_tm_centeno_Belgrano_San Luis,produccion_tm_centeno_Gobernador Dupuy_San Luis,produccion_tm_centeno_Juan Martín de Pueyrredón_San Luis,produccion_tm_centeno_otros departamentos_San Luis,rendimiento_kgxha_centeno_Ayacucho_San Luis,rendimiento_kgxha_centeno_Capital_San Luis,rendimiento_kgxha_centeno_Chacabuco_San Luis,rendimiento_kgxha_centeno_Coronel Pringles_San Luis,rendimiento_kgxha_centeno_General Belgrano_San Luis,rendimiento_kgxha_centeno_General Pedernera_San Luis,rendimiento_kgxha_centeno_Junín_San Luis,rendimiento_kgxha_centeno_Libertador General San Martín_San Luis,rendimiento_kgxha_centeno_Belgrano_San Luis,rendimiento_kgxha_centeno_Gobernador Dupuy_San Luis,rendimiento_kgxha_centeno_Juan Martín de Pueyrredón_San Luis,rendimiento_kgxha_centeno_otros departamentos_San Luis
1923-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-01,5.0,50.0,5800.0,5390.0,5.0,9000.0,400.0,350.0,,,,,0.0,5.0,550.0,520.0,0.0,950.0,40.0,35.0,,,,,0.0,2.0,165.0,166.0,0.0,266.0,18.0,13.0,,,,,0.0,400.0,300.0,320.0,0.0,280.0,450.0,370.0,,,,
1925-01-01,,100.0,1300.0,2500.0,,18000.0,100.0,,,,,,,60.0,715.0,1375.0,,9800.0,50.0,,,,,,,39.0,415.0,894.0,,5630.0,22.0,,,,,,,650.0,580.0,650.0,,574.0,450.0,,,,,
1926-01-01,,200.0,1500.0,9500.0,,10000.0,,800.0,,,,,,180.0,1400.0,9220.0,,6500.0,,700.0,,,,,,97.0,700.0,3872.0,,3055.0,,276.0,,,,,,540.0,500.0,470.0,,470.0,,394.0,,,,
1927-01-01,50.0,300.0,100.0,3000.0,50.0,23000.0,100.0,1500.0,,,,,10.0,150.0,50.0,2000.0,10.0,15000.0,50.0,1000.0,,,,,6.0,105.0,25.0,1560.0,7.0,11700.0,30.0,650.0,,,,,600.0,700.0,500.0,780.0,700.0,780.0,600.0,650.0,,,,
1928-01-01,50.0,400.0,700.0,3000.0,50.0,28000.0,500.0,1500.0,,,,,0.0,300.0,400.0,2200.0,0.0,10250.0,150.0,900.0,,,,,0.0,183.0,240.0,1012.0,0.0,5022.0,75.0,468.0,,,,,0.0,610.0,600.0,460.0,0.0,490.0,500.0,520.0,,,,
1929-01-01,100.0,300.0,500.0,2000.0,100.0,18950.0,300.0,1250.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1930-01-01,100.0,3000.0,4000.0,3000.0,100.0,35000.0,500.0,1200.0,,,,,100.0,1200.0,1800.0,2800.0,100.0,10000.0,150.0,360.0,,,,,35.0,360.0,648.0,952.0,35.0,4300.0,52.0,140.0,,,,,350.0,300.0,360.0,340.0,350.0,430.0,350.0,390.0,,,,
1931-01-01,,2000.0,3000.0,2500.0,,27000.0,500.0,1200.0,,,,,,1000.0,2250.0,2400.0,,20700.0,400.0,900.0,,,,,,470.0,1125.0,960.0,,11385.0,240.0,540.0,,,,,,470.0,500.0,400.0,,550.0,600.0,600.0,,,,
1932-01-01,,2000.0,3000.0,2500.0,,32000.0,500.0,1200.0,,,,,,900.0,1300.0,1200.0,,13800.0,200.0,600.0,,,,,,594.0,962.0,912.0,,9522.0,142.0,468.0,,,,,,660.0,740.0,760.0,,690.0,710.0,780.0,,,,
1933-01-01,,2100.0,3150.0,2625.0,,33600.0,525.0,1260.0,,,,,,525.0,790.0,525.0,,4980.0,130.0,310.0,,,,,,420.0,553.0,367.0,,3486.0,104.0,217.0,,,,,,800.0,700.0,700.0,,700.0,800.0,700.0,,,,
1934-01-01,,2100.0,3150.0,2625.0,,33600.0,525.0,1260.0,,,,,,1050.0,1575.0,1310.0,,16770.0,265.0,630.0,,,,,,735.0,1260.0,917.0,,11739.0,212.0,441.0,,,,,,700.0,800.0,700.0,,700.0,800.0,700.0,,,,
1935-01-01,,1130.0,2000.0,1250.0,,20000.0,260.0,360.0,,,,,,226.0,400.0,250.0,,4000.0,52.0,72.0,,,,,,136.0,272.0,145.0,,2400.0,31.0,42.0,,,,,,600.0,680.0,580.0,,600.0,600.0,590.0,,,,
1936-01-01,10.0,1500.0,5000.0,9500.0,10.0,34000.0,100.0,100.0,,,,,5.0,100.0,500.0,1500.0,0.0,2500.0,30.0,10.0,,,,,7.0,94.0,100.0,180.0,0.0,1675.0,25.0,6.0,,,,,1500.0,940.0,200.0,120.0,0.0,670.0,850.0,600.0,,,,
1937-01-01,100.0,1200.0,4500.0,9600.0,10.0,29000.0,500.0,2000.0,,,,,20.0,50.0,100.0,650.0,0.0,1000.0,30.0,20.0,,,,,6.0,5.0,20.0,78.0,0.0,140.0,9.0,2.0,,,,,300.0,100.0,200.0,120.0,0.0,140.0,300.0,100.0,,,,
1938-01-01,,3500.0,5000.0,2500.0,,10000.0,1500.0,,,,,,,500.0,500.0,500.0,,2000.0,250.0,,,,,,,125.0,150.0,150.0,,600.0,75.0,,,,,,,250.0,300.0,300.0,,300.0,300.0,,,,,
1939-01-01,,2000.0,9000.0,9000.0,,15000.0,500.0,1000.0,,,,,,600.0,2700.0,2700.0,,4500.0,300.0,300.0,,,,,,240.0,1080.0,1080.0,,1800.0,150.0,120.0,,,,,,400.0,400.0,400.0,,400.0,500.0,400.0,,,,
1940-01-01,50.0,2500.0,10000.0,9000.0,300.0,22200.0,300.0,1000.0,,,,,30.0,675.0,2700.0,2430.0,81.0,6000.0,150.0,270.0,,,,,15.0,304.0,1215.0,1372.0,45.0,3000.0,82.0,135.0,,,,,500.0,450.0,450.0,565.0,550.0,500.0,550.0,500.0,,,,
1941-01-01,50.0,2500.0,10000.0,9000.0,300.0,22200.0,300.0,1000.0,,,,,5.0,250.0,1000.0,900.0,30.0,2220.0,30.0,100.0,,,,,2.0,75.0,315.0,270.0,9.0,690.0,9.0,30.0,,,,,300.0,300.0,315.0,300.0,300.0,311.0,300.0,300.0,,,,
1942-01-01,166.0,1302.0,11451.0,11976.0,37.0,45119.0,571.0,1364.0,,,,,19.0,500.0,1000.0,1900.0,20.0,3420.0,69.0,150.0,,,,,6.0,150.0,300.0,570.0,6.0,1026.0,21.0,45.0,,,,,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,,,,
1943-01-01,160.0,2500.0,11550.0,12000.0,300.0,44000.0,500.0,1200.0,,,,,80.0,1400.0,5410.0,6000.0,120.0,13000.0,300.0,700.0,,,,,48.0,72.0,3300.0,3600.0,700.0,6500.0,150.0,350.0,,,,,600.0,500.0,610.0,600.0,600.0,500.0,500.0,500.0,,,,
1944-01-01,60.0,2000.0,10000.0,12000.0,400.0,45000.0,500.0,1300.0,,,,,6.0,100.0,500.0,600.0,20.0,1000.0,25.0,59.0,,,,,2.0,30.0,200.0,240.0,6.0,400.0,10.0,22.0,,,,,333.0,300.0,400.0,400.0,300.0,400.0,400.0,373.0,,,,
1945-01-01,30.0,3000.0,12000.0,12000.0,100.0,40000.0,500.0,1000.0,,,,,3.0,900.0,2000.0,4000.0,0.0,5000.0,50.0,200.0,,,,,2.0,270.0,600.0,1200.0,0.0,2000.0,15.0,60.0,,,,,667.0,300.0,300.0,300.0,0.0,400.0,300.0,300.0,,,,
1946-01-01,45.0,1500.0,10000.0,9000.0,80.0,30000.0,500.0,1000.0,,,,,0.0,800.0,3000.0,3800.0,0.0,10000.0,150.0,100.0,,,,,0.0,320.0,1500.0,1900.0,0.0,4500.0,67.0,30.0,,,,,0.0,400.0,500.0,500.0,0.0,450.0,450.0,300.0,,,,
1947-01-01,60.0,1000.0,12000.0,9000.0,80.0,25000.0,600.0,800.0,,,,,0.0,400.0,4000.0,3800.0,0.0,10000.0,200.0,250.0,,,,,0.0,240.0,2400.0,1900.0,0.0,5000.0,120.0,125.0,,,,,0.0,600.0,600.0,500.0,0.0,500.0,500.0,500.0,,,,
1948-01-01,100.0,1000.0,12600.0,9000.0,100.0,25000.0,600.0,800.0,,,,,0.0,200.0,1600.0,1500.0,0.0,5000.0,100.0,150.0,,,,,0.0,80.0,640.0,600.0,0.0,2000.0,40.0,60.0,,,,,0.0,400.0,400.0,400.0,0.0,400.0,400.0,400.0,,,,
1949-01-01,200.0,1200.0,14000.0,10000.0,100.0,25000.0,1000.0,1000.0,5000.0,,,,0.0,600.0,7000.0,5000.0,0.0,12000.0,500.0,500.0,1000.0,,,,0.0,330.0,3850.0,2750.0,0.0,6600.0,250.0,275.0,445.0,,,,0.0,550.0,550.0,550.0,0.0,550.0,500.0,550.0,445.0,,,
1950-01-01,200.0,1200.0,14000.0,10000.0,100.0,25000.0,1000.0,1000.0,5000.0,,,,0.0,100.0,500.0,400.0,0.0,500.0,100.0,60.0,0.0,,,,0.0,35.0,200.0,160.0,0.0,200.0,35.0,24.0,0.0,,,,0.0,350.0,400.0,400.0,0.0,400.0,350.0,400.0,0.0,,,
1951-01-01,100.0,1200.0,10000.0,7000.0,50.0,18000.0,750.0,1000.0,3000.0,,,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,,,
1952-01-01,120.0,1500.0,12000.0,8400.0,60.0,21600.0,950.0,1200.0,3600.0,,,,80.0,1000.0,8000.0,5600.0,60.0,14600.0,650.0,800.0,2600.0,,,,28.0,315.0,2400.0,1960.0,0.0,4900.0,180.0,280.0,700.0,,,,700.0,630.0,600.0,700.0,0.0,700.0,600.0,700.0,700.0,,,
1953-01-01,150.0,1800.0,15000.0,10000.0,100.0,26000.0,1150.0,1500.0,4300.0,,,,0.0,600.0,4500.0,3000.0,0.0,6000.0,350.0,400.0,1000.0,,,,0.0,180.0,1350.0,900.0,0.0,1800.0,105.0,120.0,300.0,,,,0.0,300.0,300.0,300.0,0.0,300.0,300.0,300.0,300.0,,,
1954-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-01-01,150.0,1800.0,15000.0,10000.0,100.0,26000.0,1150.0,1500.0,,4300.0,,,0.0,450.0,3750.0,2500.0,0.0,6500.0,285.0,375.0,,1075.0,,,0.0,270.0,2250.0,1500.0,0.0,3900.0,171.0,225.0,,645.0,,,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,,600.0,,
1956-01-01,190.0,1800.0,16300.0,10500.0,110.0,26000.0,1200.0,1500.0,,4500.0,,,60.0,500.0,4900.0,3100.0,40.0,7800.0,400.0,500.0,,1400.0,,,42.0,360.0,3430.0,2170.0,28.0,5460.0,280.0,350.0,,980.0,,,700.0,720.0,700.0,700.0,700.0,700.0,700.0,700.0,,700.0,,
1957-01-01,200.0,1800.0,16300.0,10500.0,100.0,26000.0,1200.0,1500.0,,4500.0,,,60.0,700.0,6500.0,4200.0,40.0,10400.0,500.0,600.0,,1800.0,,,30.0,350.0,3250.0,2100.0,20.0,5200.0,250.0,300.0,,900.0,,,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,,500.0,,
1958-01-01,,2000.0,17000.0,11000.0,,26500.0,1500.0,1800.0,,5000.0,,,,500.0,6000.0,4000.0,,10000.0,200.0,600.0,,1000.0,,,,300.0,3600.0,2400.0,,6000.0,120.0,360.0,,620.0,,,,600.0,600.0,600.0,,600.0,600.0,600.0,,620.0,,
1959-01-01,,3000.0,17500.0,11500.0,,27000.0,1500.0,1800.0,,5000.0,,,,500.0,6500.0,4500.0,,10000.0,300.0,600.0,,1000.0,,,,300.0,3900.0,2700.0,,6000.0,180.0,300.0,,520.0,,,,600.0,600.0,600.0,,600.0,600.0,500.0,,520.0,,
1960-01-01,,3000.0,17500.0,11500.0,,27000.0,1500.0,1800.0,,5000.0,,,,1000.0,5000.0,3800.0,,7000.0,300.0,500.0,,1000.0,,,,500.0,3000.0,1900.0,,4200.0,150.0,250.0,,500.0,,,,500.0,600.0,500.0,,600.0,500.0,500.0,,500.0,,
1961-01-01,,3300.0,18200.0,12000.0,,28350.0,1650.0,1800.0,,5000.0,,,,1800.0,5800.0,4000.0,,7000.0,400.0,300.0,,1000.0,,,,900.0,2900.0,2000.0,,3500.0,200.0,150.0,,450.0,,,,500.0,500.0,500.0,,500.0,500.0,500.0,,450.0,,
1962-01-01,,3500.0,20000.0,13200.0,,30000.0,1800.0,2000.0,,5500.0,,,,1800.0,6000.0,4500.0,,7500.0,380.0,320.0,,1000.0,,,,1080.0,3000.0,2700.0,,4500.0,228.0,192.0,,700.0,,,,600.0,500.0,600.0,,600.0,600.0,600.0,,700.0,,
1963-01-01,,3000.0,18000.0,12000.0,,27000.0,1500.0,1800.0,,5000.0,,,,1000.0,4000.0,4000.0,,7000.0,500.0,800.0,,1000.0,,,,580.0,2000.0,2400.0,,3500.0,200.0,320.0,,500.0,,,,580.0,500.0,600.0,,500.0,400.0,400.0,,500.0,,
