,superficie_sembrada_ha_centeno_indefinido_Santa Cruz,superficie_sembrada_ha_centeno_Corpen Aike_Santa Cruz,superficie_sembrada_ha_centeno_Güer Aike_Santa Cruz,superficie_sembrada_ha_centeno_Lago Buenos Aires_Santa Cruz,superficie_sembrada_ha_centeno_Magallanes_Santa Cruz,superficie_sembrada_ha_centeno_Lago Argentino_Santa Cruz,superficie_sembrada_ha_centeno_Río Chico_Santa Cruz,superficie_sembrada_ha_centeno_Deseado_Santa Cruz,superficie_cosechada_ha_centeno_indefinido_Santa Cruz,superficie_cosechada_ha_centeno_Corpen Aike_Santa Cruz,superficie_cosechada_ha_centeno_Güer Aike_Santa Cruz,superficie_cosechada_ha_centeno_Lago Buenos Aires_Santa Cruz,superficie_cosechada_ha_centeno_Magallanes_Santa Cruz,superficie_cosechada_ha_centeno_Lago Argentino_Santa Cruz,superficie_cosechada_ha_centeno_Río Chico_Santa Cruz,superficie_cosechada_ha_centeno_Deseado_Santa Cruz,produccion_tm_centeno_indefinido_Santa Cruz,produccion_tm_centeno_Corpen Aike_Santa Cruz,produccion_tm_centeno_Güer Aike_Santa Cruz,produccion_tm_centeno_Lago Buenos Aires_Santa Cruz,produccion_tm_centeno_Magallanes_Santa Cruz,produccion_tm_centeno_Lago Argentino_Santa Cruz,produccion_tm_centeno_Río Chico_Santa Cruz,produccion_tm_centeno_Deseado_Santa Cruz,rendimiento_kgxha_centeno_indefinido_Santa Cruz,rendimiento_kgxha_centeno_Corpen Aike_Santa Cruz,rendimiento_kgxha_centeno_Güer Aike_Santa Cruz,rendimiento_kgxha_centeno_Lago Buenos Aires_Santa Cruz,rendimiento_kgxha_centeno_Magallanes_Santa Cruz,rendimiento_kgxha_centeno_Lago Argentino_Santa Cruz,rendimiento_kgxha_centeno_Río Chico_Santa Cruz,rendimiento_kgxha_centeno_Deseado_Santa Cruz
1923-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-01-01,400.0,,,,,,,,128.0,,,,,,,,77.0,,,,,,,,600.0,,,,,,,
1926-01-01,20.0,,,,,,,,15.0,,,,,,,,8.0,,,,,,,,533.0,,,,,,,
1927-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-01,50.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
1929-01-01,50.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
1930-01-01,350.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
1931-01-01,350.0,,,,,,,,200.0,,,,,,,,100.0,,,,,,,,500.0,,,,,,,
1932-01-01,350.0,,,,,,,,170.0,,,,,,,,102.0,,,,,,,,600.0,,,,,,,
1933-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-01-01,,5.0,,,,,,,,5.0,,,,,,,,2.0,,,,,,,,400.0,,,,,,
1937-01-01,1.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
1938-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-01-01,8.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
1943-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-01-01,,9.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,
1945-01-01,,,5.0,1.0,3.0,,,,,,5.0,1.0,3.0,,,,,,4.0,1.0,2.0,,,,,,800.0,1000.0,700.0,,,
1946-01-01,9.0,,,,,,,,9.0,,,,,,,,7.0,,,,,,,,778.0,,,,,,,
1947-01-01,,,5.0,1.0,3.0,1.0,,,,,5.0,1.0,3.0,1.0,,,,,4.0,1.0,2.0,1.0,,,,,800.0,1000.0,667.0,1000.0,,
1948-01-01,,,4.0,2.0,3.0,1.0,,,,,4.0,2.0,3.0,1.0,,,,,4.0,1.0,2.0,1.0,,,,,1000.0,500.0,667.0,1000.0,,
1949-01-01,,,5.0,,5.0,2.0,2.0,,,,5.0,,5.0,2.0,2.0,,,,4.0,,3.0,2.0,2.0,,,,800.0,,600.0,1000.0,1000.0,
1950-01-01,,,10.0,,10.0,4.0,10.0,,,,10.0,,10.0,4.0,10.0,,,,10.0,,6.0,4.0,10.0,,,,1000.0,,600.0,1000.0,1000.0,
1951-01-01,,,10.0,,10.0,4.0,10.0,36.0,,,8.0,,5.0,4.0,7.0,33.0,,,8.0,,3.0,4.0,7.0,33.0,,,1000.0,,600.0,1000.0,1000.0,1000.0
1952-01-01,,,10.0,,10.0,4.0,10.0,,,,0.0,,0.0,0.0,0.0,,,,10.0,,6.0,4.0,10.0,,,,1000.0,,600.0,1000.0,1000.0,
1953-01-01,,,14.0,,15.0,6.0,16.0,,,,10.0,,10.0,5.0,10.0,,,,10.0,,6.0,5.0,10.0,,,,1000.0,,600.0,1000.0,1000.0,
1954-01-01,,,11.0,,12.0,6.0,13.0,,,,7.0,,8.0,4.0,8.0,,,,7.0,,5.0,4.0,8.0,,,,1000.0,,625.0,1000.0,1000.0,
1955-01-01,,,9.0,,9.0,6.0,10.0,,,,6.0,,5.0,3.0,7.0,,,,6.0,,3.0,3.0,7.0,,,,1000.0,,600.0,1000.0,1000.0,
1956-01-01,,8.0,8.0,32.0,8.0,5.0,9.0,,,5.0,5.0,14.0,4.0,3.0,6.0,,,5.0,4.0,14.0,4.0,3.0,6.0,,,1000.0,800.0,1000.0,1000.0,1000.0,1000.0,
1957-01-01,,9.0,,,9.0,6.0,10.0,,,5.0,,,5.0,3.0,7.0,,,5.0,,,3.0,3.0,7.0,,,1000.0,,,600.0,1000.0,1000.0,
1958-01-01,,5.0,8.0,32.0,8.0,,9.0,,,2.0,5.0,17.0,4.0,,6.0,,,2.0,5.0,17.0,4.0,,6.0,,,1000.0,1000.0,1000.0,1000.0,,1000.0,
1959-01-01,,9.0,,36.0,9.0,6.0,10.0,,,6.0,,24.0,5.0,3.0,7.0,,,6.0,,24.0,3.0,3.0,7.0,,,1000.0,,1000.0,600.0,1000.0,1000.0,
1960-01-01,,9.0,,36.0,9.0,6.0,10.0,,,5.0,,24.0,3.0,2.0,6.0,,,5.0,,24.0,3.0,2.0,6.0,,,1000.0,,1000.0,1000.0,1000.0,1000.0,
1961-01-01,,9.0,,36.0,9.0,6.0,10.0,,,4.0,,24.0,4.0,3.0,5.0,,,4.0,,24.0,4.0,3.0,5.0,,,1000.0,,1000.0,1000.0,1000.0,1000.0,
1962-01-01,,8.0,5.0,32.0,8.0,,9.0,,,3.0,2.0,14.0,4.0,,5.0,,,3.0,2.0,14.0,4.0,,5.0,,,1000.0,1000.0,1000.0,1000.0,,1000.0,
1963-01-01,,9.0,,36.0,9.0,6.0,10.0,,,5.0,,24.0,3.0,3.0,6.0,,,5.0,,24.0,3.0,3.0,6.0,,,1000.0,,1000.0,1000.0,1000.0,1000.0,
1964-01-01,,5.0,8.0,30.0,8.0,,9.0,,,3.0,4.0,12.0,6.0,,5.0,,,3.0,4.0,12.0,6.0,,5.0,,,1000.0,1000.0,1000.0,1000.0,,1000.0,
1965-01-01,,9.0,6.0,36.0,9.0,,10.0,,,2.0,4.0,21.0,4.0,,7.0,,,2.0,4.0,21.0,4.0,,7.0,,,1000.0,1000.0,1000.0,1000.0,,1000.0,
1966-01-01,,5.0,8.0,30.0,8.0,,9.0,,,4.0,7.0,24.0,7.0,,8.0,,,4.0,7.0,24.0,7.0,,8.0,,,1000.0,1000.0,1000.0,1000.0,,1000.0,
1967-01-01,,6.0,10.0,34.0,10.0,,10.0,,,6.0,10.0,34.0,10.0,,10.0,,,5.0,8.0,29.0,9.0,,9.0,,,833.0,800.0,853.0,900.0,,900.0,
1968-01-01,,8.0,10.0,38.0,11.0,,13.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,
1969-01-01,,8.0,10.0,38.0,12.0,,12.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,
1970-01-01,,9.0,10.0,34.0,13.0,,14.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,
1971-01-01,,9.0,10.0,30.0,11.0,,10.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,
1972-01-01,,10.0,13.0,37.0,12.0,,11.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,
1973-01-01,,10.0,15.0,30.0,12.0,,13.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,
1974-01-01,,11.0,19.0,38.0,16.0,,16.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,
1975-01-01,,12.0,23.0,,16.0,41.0,18.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,
1976-01-01,,13.0,27.0,52.0,16.0,,22.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,
1977-01-01,,14.0,33.0,51.0,16.0,,26.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,
1978-01-01,,10.0,20.0,40.0,10.0,,20.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,
1979-01-01,,20.0,40.0,70.0,20.0,,30.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,
1980-01-01,,30.0,40.0,60.0,25.0,15.0,30.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,
1981-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
