,superficie_sembrada_ha_centeno_indefinido_Tucumán,superficie_sembrada_ha_centeno_Cruz Alta_Tucumán,superficie_sembrada_ha_centeno_Graneros_Tucumán,superficie_sembrada_ha_centeno_Monteros_Tucumán,superficie_sembrada_ha_centeno_Río Chico_Tucumán,superficie_sembrada_ha_centeno_Tafí Viejo_Tucumán,superficie_sembrada_ha_centeno_Famaillá_Tucumán,superficie_sembrada_ha_centeno_Leales_Tucumán,superficie_sembrada_ha_centeno_Trancas_Tucumán,superficie_sembrada_ha_centeno_Chicligasta_Tucumán,superficie_sembrada_ha_centeno_Burruyacú_Tucumán,superficie_sembrada_ha_centeno_Capital_Tucumán,superficie_sembrada_ha_centeno_Tafí del Valle_Tucumán,superficie_sembrada_ha_centeno_otros departamentos_Tucumán,superficie_sembrada_ha_centeno_La Cocha_Tucumán,superficie_cosechada_ha_centeno_indefinido_Tucumán,superficie_cosechada_ha_centeno_Cruz Alta_Tucumán,superficie_cosechada_ha_centeno_Graneros_Tucumán,superficie_cosechada_ha_centeno_Monteros_Tucumán,superficie_cosechada_ha_centeno_Río Chico_Tucumán,superficie_cosechada_ha_centeno_Tafí Viejo_Tucumán,superficie_cosechada_ha_centeno_Famaillá_Tucumán,superficie_cosechada_ha_centeno_Leales_Tucumán,superficie_cosechada_ha_centeno_Trancas_Tucumán,superficie_cosechada_ha_centeno_Chicligasta_Tucumán,superficie_cosechada_ha_centeno_Burruyacú_Tucumán,superficie_cosechada_ha_centeno_Capital_Tucumán,superficie_cosechada_ha_centeno_Tafí del Valle_Tucumán,superficie_cosechada_ha_centeno_otros departamentos_Tucumán,superficie_cosechada_ha_centeno_La Cocha_Tucumán,produccion_tm_centeno_indefinido_Tucumán,produccion_tm_centeno_Cruz Alta_Tucumán,produccion_tm_centeno_Graneros_Tucumán,produccion_tm_centeno_Monteros_Tucumán,produccion_tm_centeno_Río Chico_Tucumán,produccion_tm_centeno_Tafí Viejo_Tucumán,produccion_tm_centeno_Famaillá_Tucumán,produccion_tm_centeno_Leales_Tucumán,produccion_tm_centeno_Trancas_Tucumán,produccion_tm_centeno_Chicligasta_Tucumán,produccion_tm_centeno_Burruyacú_Tucumán,produccion_tm_centeno_Capital_Tucumán,produccion_tm_centeno_Tafí del Valle_Tucumán,produccion_tm_centeno_otros departamentos_Tucumán,produccion_tm_centeno_La Cocha_Tucumán,rendimiento_kgxha_centeno_indefinido_Tucumán,rendimiento_kgxha_centeno_Cruz Alta_Tucumán,rendimiento_kgxha_centeno_Graneros_Tucumán,rendimiento_kgxha_centeno_Monteros_Tucumán,rendimiento_kgxha_centeno_Río Chico_Tucumán,rendimiento_kgxha_centeno_Tafí Viejo_Tucumán,rendimiento_kgxha_centeno_Famaillá_Tucumán,rendimiento_kgxha_centeno_Leales_Tucumán,rendimiento_kgxha_centeno_Trancas_Tucumán,rendimiento_kgxha_centeno_Chicligasta_Tucumán,rendimiento_kgxha_centeno_Burruyacú_Tucumán,rendimiento_kgxha_centeno_Capital_Tucumán,rendimiento_kgxha_centeno_Tafí del Valle_Tucumán,rendimiento_kgxha_centeno_otros departamentos_Tucumán,rendimiento_kgxha_centeno_La Cocha_Tucumán
1923-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-01-01,770.0,,,,,,,,,,,,,,,246.0,,,,,,,,,,,,,,,184.0,,,,,,,,,,,,,,,750.0,,,,,,,,,,,,,,
1926-01-01,500.0,,,,,,,,,,,,,,,224.0,,,,,,,,,,,,,,,122.0,,,,,,,,,,,,,,,545.0,,,,,,,,,,,,,,
1927-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928-01-01,650.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
1929-01-01,650.0,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,360.0,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,
1930-01-01,600.0,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,750.0,,,,,,,,,,,,,,
1931-01-01,600.0,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,
1932-01-01,600.0,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,165.0,,,,,,,,,,,,,,,550.0,,,,,,,,,,,,,,
1933-01-01,700.0,,,,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,154.0,,,,,,,,,,,,,,,700.0,,,,,,,,,,,,,,
1934-01-01,500.0,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,,950.0,,,,,,,,,,,,,,
1935-01-01,,10.0,50.0,15.0,15.0,10.0,,,,,,,,,,,8.0,20.0,10.0,5.0,7.0,,,,,,,,,,,6.0,17.0,8.0,4.0,5.0,,,,,,,,,,,750.0,850.0,800.0,800.0,714.0,,,,,,,,,
1936-01-01,,1.0,5.0,3.0,,1.0,,,,,,,,,,,0.0,3.0,2.0,,0.0,,,,,,,,,,,0.0,1.0,0.0,,0.0,,,,,,,,,,,0.0,333.0,200.0,,0.0,,,,,,,,,
1937-01-01,14.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,
1938-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-01-01,,,,,,,6.0,7.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
1958-01-01,,,235.0,,,,10.0,150.0,10.0,5.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,
1959-01-01,,,250.0,,,,10.0,150.0,15.0,10.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,
1960-01-01,,,150.0,,24.0,50.0,10.0,300.0,14.0,12.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1961-01-01,,,170.0,,30.0,53.0,10.0,450.0,15.0,15.0,122.0,5.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1962-01-01,,2.0,210.0,,60.0,55.0,15.0,500.0,30.0,3.0,130.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1963-01-01,,3.0,185.0,,58.0,108.0,,483.0,,4.0,135.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,
1964-01-01,,50.0,190.0,,65.0,60.0,20.0,480.0,30.0,5.0,140.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1965-01-01,,60.0,230.0,,70.0,65.0,22.0,505.0,46.0,7.0,145.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1966-01-01,,60.0,250.0,,70.0,70.0,22.0,520.0,50.0,8.0,150.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1967-01-01,,60.0,260.0,,70.0,65.0,22.0,510.0,55.0,8.0,150.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1968-01-01,,70.0,300.0,,80.0,70.0,,550.0,80.0,10.0,170.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,
1969-01-01,,100.0,310.0,,100.0,,,500.0,100.0,50.0,200.0,,70.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,
1970-01-01,,100.0,200.0,,100.0,,,400.0,200.0,50.0,100.0,,50.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,
1971-01-01,,150.0,200.0,,100.0,,,460.0,200.0,70.0,150.0,,70.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,
1972-01-01,,150.0,200.0,,100.0,,,450.0,200.0,80.0,150.0,,80.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,
1973-01-01,,150.0,230.0,,100.0,,,500.0,210.0,80.0,150.0,,80.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,
1974-01-01,,150.0,230.0,,110.0,,,500.0,200.0,70.0,140.0,,80.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,
1975-01-01,,446.0,140.0,23.0,,,5.0,55.0,400.0,20.0,32.0,9.0,20.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1976-01-01,,460.0,140.0,23.0,,,5.0,60.0,363.0,20.0,30.0,11.0,18.0,,,,0.0,0.0,23.0,,,5.0,15.0,105.0,7.0,19.0,2.0,4.0,,,,0.0,0.0,46.0,,,6.0,20.0,150.0,11.0,38.0,3.0,6.0,,,,0.0,0.0,2000.0,,,1200.0,1333.0,1429.0,1571.0,2000.0,1500.0,1500.0,,
1977-01-01,,460.0,145.0,23.0,,,5.0,70.0,400.0,25.0,30.0,12.0,20.0,,,,130.0,45.0,23.0,,,5.0,20.0,120.0,15.0,20.0,4.0,8.0,,,,156.0,45.0,27.0,,,6.0,20.0,134.0,18.0,32.0,4.0,8.0,,,,1200.0,1000.0,1174.0,,,1200.0,1000.0,1117.0,1200.0,1600.0,1000.0,1000.0,,
1978-01-01,,460.0,160.0,28.0,,,,70.0,387.0,25.0,40.0,10.0,20.0,,,,100.0,55.0,28.0,,,,10.0,223.0,10.0,30.0,4.0,10.0,,,,120.0,50.0,40.0,,,,13.0,250.0,15.0,90.0,6.0,16.0,,,,1200.0,909.0,1429.0,,,,1300.0,1121.0,1500.0,3000.0,1500.0,1600.0,,
1979-01-01,,465.0,160.0,25.0,,,,75.0,420.0,35.0,50.0,,30.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,
1980-01-01,,460.0,160.0,25.0,,,,80.0,420.0,35.0,50.0,,30.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,
1981-01-01,,530.0,160.0,,,,,80.0,450.0,30.0,60.0,,50.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,
1982-01-01,,500.0,170.0,,,,,75.0,460.0,35.0,60.0,,40.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,
1983-01-01,,400.0,150.0,,,,,50.0,500.0,30.0,60.0,,60.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,
1984-01-01,,370.0,130.0,,,,,50.0,500.0,30.0,60.0,,60.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,
1985-01-01,,300.0,120.0,,,,,50.0,390.0,30.0,50.0,,60.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,
1986-01-01,,360.0,125.0,,,,,60.0,500.0,30.0,60.0,,65.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,
1987-01-01,,,,,,,,,,,,,,1215.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,
1988-01-01,,360.0,135.0,,,,,65.0,490.0,30.0,50.0,,70.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,
1989-01-01,,290.0,125.0,,,,,20.0,430.0,30.0,45.0,,60.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,,400.0,200.0,10.0,,,,40.0,385.0,20.0,30.0,,15.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,
1994-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,300.0,250.0,,,,,,,,120.0,,,,180.0,,280.0,230.0,,,,,,,,120.0,,,,160.0,,196.0,161.0,,,,,,,,84.0,,,,96.0,,700.0,700.0,,,,,,,,700.0,,,,600.0
2021-01-01,,200.0,120.0,,,,,,,,450.0,,,,,,195.0,110.0,,,,,,,,425.0,,,,,,176.0,88.0,,,,,,,,255.0,,,,,,903.0,800.0,,,,,,,,600.0,,,,
2022-01-01,,290.0,200.0,,,,,,,,550.0,,,,,,280.0,180.0,,,,,,,,520.0,,,,,,252.0,126.0,,,,,,,,416.0,,,,,,900.0,700.0,,,,,,,,800.0,,,,
2023-01-01,,290.0,200.0,,,,,,,,450.0,,,,,,290.0,200.0,,,,,,,,450.0,,,,,,348.0,240.0,,,,,,,,450.0,,,,,,1200.0,1200.0,,,,,,,,1000.0,,,,
2024-01-01,,290.0,200.0,,,,,,,,400.0,,,,,,290.0,200.0,,,,,,,,400.0,,,,,,348.0,220.0,,,,,,,,440.0,,,,,,1200.0,1100.0,,,,,,,,1100.0,,,,
